大类,推荐编码,推荐名称,疾病编码,疾病名称,动作编码,动作名称,动作关系,主证据编码,主指南编码,主指南名称,推荐等级,证据等级,阻断原因
心律失常,REC-9A073BB5267D4E5B,非持续性室性心动过速路径治疗决策规则｜ICD治疗（治疗方案）推荐,DIS-CARD-ARR-NSVT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-946BE3CB675F,ICD治疗,recommends_action,EVD-22F1D1DDC36B0B600F0B-NSVT,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,未结构化,未结构化,
心律失常,REC-EC542465AB7E2306,非持续性室性心动过速路径治疗决策规则｜非持续性室性心动过速治疗方案（治疗方案）推荐,DIS-CARD-ARR-NSVT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-99A20A48D160,非持续性室性心动过速治疗方案,recommends_action,EVD-22F1D1DDC36B0B600F0B-NSVT,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,未结构化,未结构化,
心律失常,REC-0B490AFB3BD72C3E,非持续性室性心动过速路径治疗决策规则｜电复律除颤（治疗方案）推荐,DIS-CARD-ARR-NSVT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-A694F46F1102,电复律除颤,recommends_action,EVD-22F1D1DDC36B0B600F0B-NSVT,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,未结构化,未结构化,
心律失常,REC-44C54EB75362E681,非持续性室性心动过速路径随访安全规则｜非持续性室性心动过速随访与复查方案（随访）推荐,DIS-CARD-ARR-NSVT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-REQ-9FB8C3CF28CA,非持续性室性心动过速随访与复查方案,recommends_action,EVD-22F1D1DDC36B0B600F0B-NSVT,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,未结构化,未结构化,
心律失常,REC-FDE721E968C19BA8,非持续性室性心动过速路径随访安全规则｜非持续性室性心动过速风险分层（风险分层）推荐,DIS-CARD-ARR-NSVT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,RISK-CARD-73780F30E838,非持续性室性心动过速风险分层,recommends_action,EVD-22F1D1DDC36B0B600F0B-NSVT,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,未结构化,未结构化,
心肌病,REC-6CA2B4ECB2D76ADA,淀粉样变心肌病路径随访安全规则｜淀粉样变心肌病随访方案（随访）推荐,DIS-CARD-CM-AMYLOID,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-94C8AE220B62,淀粉样变心肌病随访方案,recommends_action,EVD-FBB22B98ABF7CAAFF24A-AMYLOID,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未结构化,未结构化,
心肌病,REC-A5CAC0416D92A2AA,法布雷病心肌病路径评估规则｜酶活性、基因检测和心肌活检诊断（诊断标准）推荐,DIS-CARD-CM-FABRY,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-CM-FABRY-ENZYME-GENE-EMB,酶活性、基因检测和心肌活检诊断,recommends_action,EVD-305FAC2C36B8A121E5B4-FABRY,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未结构化,未结构化,
心肌病,REC-7023A88D54CE1E7A,法布雷病心肌病路径治疗决策规则｜法布雷病心肌病治疗方案（治疗方案）推荐,DIS-CARD-CM-FABRY,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-D8661B4FB4B1,法布雷病心肌病治疗方案,recommends_action,EVD-305FAC2C36B8A121E5B4-FABRY,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未结构化,未结构化,
心肌病,REC-D19E6F17DCA205FA,法布雷病心肌病路径随访安全规则｜法布雷病心肌病长期心脏随访（随访）推荐,DIS-CARD-CM-FABRY,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-CM-FABRY-REGULAR-CARDIAC-FOLLOW-UP,法布雷病心肌病长期心脏随访,recommends_action,EVD-305FAC2C36B8A121E5B4-FABRY,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未结构化,未结构化,
心律失常,REC-484D25F1C92C158A,持续性室性心动过速路径评估规则｜持续性室性心动过速诊断标准（诊断标准）推荐,DIS-CARD-ARR-VT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-AA6BAD3066A3,持续性室性心动过速诊断标准,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-VT,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-889219A91D901ABE,持续性室性心动过速路径治疗决策规则｜持续性室性心动过速治疗方案（治疗方案）推荐,DIS-CARD-ARR-VT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-VT,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-0D8FA636CC44E581,持续性室性心动过速路径治疗决策规则｜射频消融治疗（治疗方案）推荐,DIS-CARD-ARR-VT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-8D7FDE84DC07,射频消融治疗,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-VT,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-8D3DA974E45CCA0F,持续性室性心动过速路径治疗决策规则｜ICD治疗（治疗方案）推荐,DIS-CARD-ARR-VT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-946BE3CB675F,ICD治疗,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-VT,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-1CEE0915FBC45FD4,持续性室性心动过速路径治疗决策规则｜电复律除颤（治疗方案）推荐,DIS-CARD-ARR-VT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-A694F46F1102,电复律除颤,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-VT,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心力衰竭,REC-9F823F90559ECCF3,心肌梗死后心力衰竭路径评估规则｜心肌梗死后心力衰竭诊断标准（诊断标准）推荐,DIS-CARD-HF-POST-MI,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-5A4BCEDA1085,心肌梗死后心力衰竭诊断标准,recommends_action,EVD-0AF47B0E09B86CEE0B03-MI,SRC-DOC-EC5A88A34A19CF0B,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,未结构化,未结构化,
心力衰竭,REC-C1D5CCF1279C3898,心肌梗死后心力衰竭路径评估规则｜心力衰竭诊断标准（诊断标准）推荐,DIS-CARD-HF-POST-MI,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-C9F14771A730,心力衰竭诊断标准,recommends_action,EVD-0AF47B0E09B86CEE0B03-MI,SRC-DOC-EC5A88A34A19CF0B,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,未结构化,未结构化,
心力衰竭,REC-B61ED54E49D45183,心肌梗死后心力衰竭路径治疗决策规则｜心肌梗死后心力衰竭治疗方案（治疗方案）推荐,DIS-CARD-HF-POST-MI,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-019D9CFB289A,心肌梗死后心力衰竭治疗方案,recommends_action,EVD-0AF47B0E09B86CEE0B03-MI,SRC-DOC-EC5A88A34A19CF0B,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,未结构化,未结构化,
心力衰竭,REC-7037AAEFC3CB6A26,心肌梗死后心力衰竭路径随访安全规则｜心力衰竭随访方案（随访）推荐,DIS-CARD-HF-POST-MI,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-8BCE7C3349BC,心力衰竭随访方案,recommends_action,EVD-0AF47B0E09B86CEE0B03-MI,SRC-DOC-EC5A88A34A19CF0B,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,未结构化,未结构化,
心力衰竭,REC-D5C5AFD6B636E261,心肌梗死后心力衰竭路径随访安全规则｜心肌梗死后心力衰竭随访方案（随访）推荐,DIS-CARD-HF-POST-MI,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-8C8AB2EC9F7D,心肌梗死后心力衰竭随访方案,recommends_action,EVD-0AF47B0E09B86CEE0B03-MI,SRC-DOC-EC5A88A34A19CF0B,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,未结构化,未结构化,
心律失常,REC-74F2A04354313970,短QT间期综合征路径评估规则｜短QT间期综合征诊断标准（诊断标准）推荐,DIS-CARD-ARR-SQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-REQ-F5E5DC1892EC,短QT间期综合征诊断标准,recommends_action,EVD-31FED4A2CB7FDE6D6F6B-SQTS,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,未结构化,未结构化,
心律失常,REC-B28448660D0D2E36,持续性室性心动过速路径治疗决策规则｜血运重建（治疗方案）推荐,DIS-CARD-ARR-VT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-TEXT-EEF9C97B59,血运重建,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-VT,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-994014382D7E13EF,持续性室性心动过速路径随访安全规则｜持续性室性心动过速随访方案（随访）推荐,DIS-CARD-ARR-VT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-05832BEF02A2,持续性室性心动过速随访方案,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-VT,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-DFA59E1519BA0EE9,持续性室性心动过速路径随访安全规则｜持续性室性心动过速风险分层（风险分层）推荐,DIS-CARD-ARR-VT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,RISK-CARD-D8E501796019,持续性室性心动过速风险分层,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-VT,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
冠心病,REC-5BAA719A38F2A2C8,缺血性心肌病路径评估规则｜缺血性心肌病诊断标准（诊断标准）推荐,DIS-CARD-CAD-ICM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-097806EACD3F,缺血性心肌病诊断标准,recommends_action,EVD-0B86F000BFC1DF91F705-ICM,SRC-DOC-FF80679E54616C13,DCM CN 2018.pdf,未结构化,未结构化,
冠心病,REC-D96FA074667FD3D0,缺血性心肌病路径治疗决策规则｜缺血性心肌病治疗方案（治疗方案）推荐,DIS-CARD-CAD-ICM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,recommends_action,EVD-0B86F000BFC1DF91F705-ICM,SRC-DOC-FF80679E54616C13,DCM CN 2018.pdf,未结构化,未结构化,
冠心病,REC-97B3C9C811ECEB2E,缺血性心肌病路径治疗决策规则｜抗凝治疗（治疗方案）推荐,DIS-CARD-CAD-ICM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-A1C4E6332D38,抗凝治疗,recommends_action,EVD-0B86F000BFC1DF91F705-ICM,SRC-DOC-FF80679E54616C13,DCM CN 2018.pdf,未结构化,未结构化,
冠心病,REC-34AFE54CFB0F02B9,缺血性心肌病路径治疗决策规则｜血运重建（治疗方案）推荐,DIS-CARD-CAD-ICM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-TEXT-EEF9C97B59,血运重建,recommends_action,EVD-0B86F000BFC1DF91F705-ICM,SRC-DOC-FF80679E54616C13,DCM CN 2018.pdf,未结构化,未结构化,
冠心病,REC-B3B32FFED9AE1D4A,缺血性心肌病路径随访安全规则｜缺血性心肌病随访方案（随访）推荐,DIS-CARD-CAD-ICM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-AF9070949AB7,缺血性心肌病随访方案,recommends_action,EVD-0B86F000BFC1DF91F705-ICM,SRC-DOC-FF80679E54616C13,DCM CN 2018.pdf,未结构化,未结构化,
心律失常,REC-8EFAF865AE874832,短QT间期综合征路径治疗决策规则｜ICD治疗（治疗方案）推荐,DIS-CARD-ARR-SQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-946BE3CB675F,ICD治疗,recommends_action,EVD-31FED4A2CB7FDE6D6F6B-SQTS,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,未结构化,未结构化,
心律失常,REC-B17137D31E68F0CD,短QT间期综合征路径治疗决策规则｜短QT间期综合征治疗方案（治疗方案）推荐,DIS-CARD-ARR-SQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-C1B0D29171C8,短QT间期综合征治疗方案,recommends_action,EVD-31FED4A2CB7FDE6D6F6B-SQTS,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,未结构化,未结构化,
心律失常,REC-6F715C192707537E,短QT间期综合征路径随访安全规则｜短QT间期综合征随访方案（随访）推荐,DIS-CARD-ARR-SQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-29E417517387,短QT间期综合征随访方案,recommends_action,EVD-31FED4A2CB7FDE6D6F6B-SQTS,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,未结构化,未结构化,
心肌病,REC-EECDA2166B54C412,致心律失常性右心室心肌病路径评估规则｜致心律失常性右心室心肌病诊断标准（诊断标准）推荐,DIS-CARD-CM-ARVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-C8CFD05F6624,致心律失常性右心室心肌病诊断标准,recommends_action,EVD-D603EB30933722472AC6-ARVC,SRC-DOC-EE4059BC9FA37E66,心肌病诊断与治疗建议  2007.pdf,未结构化,未结构化,
心肌病,REC-2D007FEA16344C82,致心律失常性右心室心肌病路径治疗决策规则｜致心律失常性右心室心肌病治疗方案（治疗方案）推荐,DIS-CARD-CM-ARVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-A998492DDF0E,致心律失常性右心室心肌病治疗方案,recommends_action,EVD-D603EB30933722472AC6-ARVC,SRC-DOC-EE4059BC9FA37E66,心肌病诊断与治疗建议  2007.pdf,未结构化,未结构化,
心肌病,REC-F8156A5B1410D1E6,致心律失常性右心室心肌病路径随访安全规则｜致心律失常性右心室心肌病随访方案（随访）推荐,DIS-CARD-CM-ARVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-ABD01AB929A0,致心律失常性右心室心肌病随访方案,recommends_action,EVD-D603EB30933722472AC6-ARVC,SRC-DOC-EE4059BC9FA37E66,心肌病诊断与治疗建议  2007.pdf,未结构化,未结构化,
心肌病,REC-C9B425737E91365E,致心律失常性右心室心肌病路径随访安全规则｜致心律失常性右心室心肌病风险分层（风险分层）推荐,DIS-CARD-CM-ARVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,RISK-CARD-B8562DBAE6B8,致心律失常性右心室心肌病风险分层,recommends_action,EVD-D603EB30933722472AC6-ARVC,SRC-DOC-EE4059BC9FA37E66,心肌病诊断与治疗建议  2007.pdf,未结构化,未结构化,
心肌病,REC-C77E0F63DCED7C1F,扩张型心肌病路径评估规则｜扩张型心肌病诊断标准（诊断标准）推荐,DIS-CARD-CM-DCM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-16CFF57650C6,扩张型心肌病诊断标准,recommends_action,EVD-26CD5802C3C5E0A2B148-DCM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未结构化,未结构化,
心肌病,REC-CDAF42A2A711A702,扩张型心肌病路径治疗决策规则｜抗凝治疗（治疗方案）推荐,DIS-CARD-CM-DCM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-A1C4E6332D38,抗凝治疗,recommends_action,EVD-26CD5802C3C5E0A2B148-DCM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未结构化,未结构化,
心肌病,REC-2DDCA667F430F3FA,扩张型心肌病路径治疗决策规则｜扩张型心肌病治疗方案（治疗方案）推荐,DIS-CARD-CM-DCM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-EF123C1AB63F,扩张型心肌病治疗方案,recommends_action,EVD-26CD5802C3C5E0A2B148-DCM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未结构化,未结构化,
心肌病,REC-6E8A2DF6F43CE770,扩张型心肌病路径治疗决策规则｜控制心室率（治疗方案）推荐,DIS-CARD-CM-DCM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-TEXT-655F4B37BC,控制心室率,recommends_action,EVD-26CD5802C3C5E0A2B148-DCM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未结构化,未结构化,
心肌病,REC-9A9EE80CD7A841BD,扩张型心肌病路径随访安全规则｜扩张型心肌病随访方案（随访）推荐,DIS-CARD-CM-DCM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-9B799CB8CABF,扩张型心肌病随访方案,recommends_action,EVD-26CD5802C3C5E0A2B148-DCM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未结构化,未结构化,
心肌病,REC-5DAF220EA350E2BF,扩张型心肌病路径随访安全规则｜扩张型心肌病风险分层（风险分层）推荐,DIS-CARD-CM-DCM,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,RISK-CARD-5217C75AAD41,扩张型心肌病风险分层,recommends_action,EVD-26CD5802C3C5E0A2B148-DCM,SRC-DOC-8917447CF08D5176,中国心肌病综合管理指南2025.pdf,未结构化,未结构化,
心律失常,REC-B8DC40956B726469,长QT间期综合征路径评估规则｜长QT间期综合征诊断标准（诊断标准）推荐,DIS-CARD-ARR-LQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-REQ-4FDD69B1DF11,长QT间期综合征诊断标准,recommends_action,EVD-03B05326ADCB1E7378E3-LQTS,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-EABA02F1D31DA710,长QT间期综合征路径治疗决策规则｜长QT间期综合征治疗方案（治疗方案）推荐,DIS-CARD-ARR-LQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-5577EA63AC56,长QT间期综合征治疗方案,recommends_action,EVD-03B05326ADCB1E7378E3-LQTS,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-0E671D461545F253,长QT间期综合征路径治疗决策规则｜ICD治疗（治疗方案）推荐,DIS-CARD-ARR-LQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-946BE3CB675F,ICD治疗,recommends_action,EVD-03B05326ADCB1E7378E3-LQTS,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-368BDCEFBC65FAC9,长QT间期综合征路径治疗决策规则｜电复律除颤（治疗方案）推荐,DIS-CARD-ARR-LQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-A694F46F1102,电复律除颤,recommends_action,EVD-03B05326ADCB1E7378E3-LQTS,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-45BF0572CB073F1B,长QT间期综合征路径治疗决策规则｜抗心律失常药物治疗（治疗方案）推荐,DIS-CARD-ARR-LQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-E01DCE98BB99,抗心律失常药物治疗,recommends_action,EVD-03B05326ADCB1E7378E3-LQTS,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-069462846083A451,长QT间期综合征路径随访安全规则｜长QT间期综合征随访与复查方案（随访）推荐,DIS-CARD-ARR-LQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-REQ-57220EA34AC5,长QT间期综合征随访与复查方案,recommends_action,EVD-03B05326ADCB1E7378E3-LQTS,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-57BFB7E576312074,长QT间期综合征路径随访安全规则｜长QT间期综合征风险分层（风险分层）推荐,DIS-CARD-ARR-LQTS,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,RISK-CARD-87ECA663125E,长QT间期综合征风险分层,recommends_action,EVD-03B05326ADCB1E7378E3-LQTS,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-87906627D928CD1A,室性期前收缩路径评估规则｜室性期前收缩诊断标准（诊断标准）推荐,DIS-CARD-ARR-PVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-E67828C4B263,室性期前收缩诊断标准,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-PVC,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-194C9DD47E025699,室性期前收缩路径治疗决策规则｜室性期前收缩治疗方案（治疗方案）推荐,DIS-CARD-ARR-PVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-77E2B4A66CCD,室性期前收缩治疗方案,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-PVC,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-CF15CDA1C1D3FADC,室性期前收缩路径治疗决策规则｜射频消融治疗（治疗方案）推荐,DIS-CARD-ARR-PVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-8D7FDE84DC07,射频消融治疗,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-PVC,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-2C459FB26708DAD8,儿茶酚胺敏感性多形性室性心动过速路径评估规则｜儿茶酚胺敏感性多形性室性心动过速诊断标准（诊断标准）推荐,DIS-CARD-ARR-CPVT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,DXC-CARD-REQ-FE58A0E71FEE,儿茶酚胺敏感性多形性室性心动过速诊断标准,recommends_action,EVD-1DFD2B20A3502360B4ED-CPVT,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-503DA5FFF8F7E70B,儿茶酚胺敏感性多形性室性心动过速路径治疗决策规则｜ICD治疗（治疗方案）推荐,DIS-CARD-ARR-CPVT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-946BE3CB675F,ICD治疗,recommends_action,EVD-1DFD2B20A3502360B4ED-CPVT,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-0CEA840B84C9A729,儿茶酚胺敏感性多形性室性心动过速路径治疗决策规则｜电复律除颤（治疗方案）推荐,DIS-CARD-ARR-CPVT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-A694F46F1102,电复律除颤,recommends_action,EVD-1DFD2B20A3502360B4ED-CPVT,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-07471D46DB30A44D,儿茶酚胺敏感性多形性室性心动过速路径治疗决策规则｜儿茶酚胺敏感性多形性室性心动过速治疗方案（治疗方案）推荐,DIS-CARD-ARR-CPVT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-D4265EE715BD,儿茶酚胺敏感性多形性室性心动过速治疗方案,recommends_action,EVD-1DFD2B20A3502360B4ED-CPVT,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-F94C26967FD75E99,儿茶酚胺敏感性多形性室性心动过速路径治疗决策规则｜抗心律失常药物治疗（治疗方案）推荐,DIS-CARD-ARR-CPVT,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-E01DCE98BB99,抗心律失常药物治疗,recommends_action,EVD-1DFD2B20A3502360B4ED-CPVT,SRC-DOC-4DE9ED834C741715,ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,未结构化,未结构化,
心律失常,REC-B930DD35D801928C,室性期前收缩路径治疗决策规则｜抗凝治疗（治疗方案）推荐,DIS-CARD-ARR-PVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-A1C4E6332D38,抗凝治疗,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-PVC,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-8635439FB569D904,室性期前收缩路径治疗决策规则｜急救复苏（治疗方案）推荐,DIS-CARD-ARR-PVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-C23D6266C767,急救复苏,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-PVC,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-1D8686DF38D53C27,室性期前收缩路径治疗决策规则｜抗心律失常药物治疗（治疗方案）推荐,DIS-CARD-ARR-PVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,PLAN-CARD-E01DCE98BB99,抗心律失常药物治疗,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-PVC,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-53005B26BDC41745,室性期前收缩路径随访安全规则｜室性期前收缩随访方案（随访）推荐,DIS-CARD-ARR-PVC,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,FU-CARD-9EE0B12A0727,室性期前收缩随访方案,recommends_action,EVD-TB-C8D90A4B2E725F3E6B4C-PVC,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
