severity,category,disease_code,disease_name,batch_id,definition_empty,description_empty,description_self_anchor,other_disease_anchor_hits,known_pollution_keywords,flags,current_definition_preview,current_description_preview
P0,心律失常,DIS-CARD-ARR-SB,窦性心动过缓,BATCH-CARD-BRADY-AVB-20260705-001_缓慢性心律失常传导阻滞_Bradyarrhythmia_AVBlock,yes,no,no,,,definition_empty;description_no_self_anchor,,指在标准条件下所测得的HCO3－含量。标准条件是指在37℃条件下，全血标本与PaCO2为40mmHg的气体平衡后，使血红蛋白完全氧合所测得的HCO3－含量。正常值为22～26（平均24）mmol／L。SB不受呼吸因素的影响，反映HCO3－的储备量，是代谢性酸碱平衡的重要指标。SB增加提示代谢性碱中毒，减低提示代谢性酸中毒。
P0,心律失常,DIS-CARD-ARR-SINUS,窦性心律失常,FOUNDATION-CARD-20260624-001,yes,no,yes,,,definition_empty,,窦性心律失常基础骨架节点，来源于《内科学（第10版）》循环系统疾病篇。
P0,心律失常,DIS-CARD-ARR-SAB,窦房传导阻滞,BATCH-CARD-BRADY-AVB-20260705-001_缓慢性心律失常传导阻滞_Bradyarrhythmia_AVBlock,yes,no,yes,DIS-CARD-ARR-AT:房性心动过速:房性心动过速 | DIS-CARD-ARR-AFL:心房扑动:心房扑动 | DIS-CARD-ARR-AF:心房颤动:心房颤动 | DIS-CARD-ARR-AVB:房室传导阻滞:房室传导阻滞 | DIS-CARD-ARR-BRADY:缓慢性心律失常:心动过缓,窦性停搏,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,心电图主要表现包括：①持续而显著的窦性心动过缓（50次／分以下），且并非由于药物引起；②窦性停搏与窦房传导阻滞；③窦房传导阻滞与房室传导阻滞同时并存；④心动过缓-心动过速综合征（bradycardia-tachycardia syndrome），这是指心动过缓与房性快速性心律失常（心房扑动、心房颤动或房性心动过速）交替发作。
P0,心律失常,DIS-CARD-ARR-SND,窦房结功能障碍,BATCH-CARD-BRADY-AVB-20260705-001_缓慢性心律失常传导阻滞_Bradyarrhythmia_AVBlock,yes,no,yes,DIS-CARD-ARR-BRADY:缓慢性心律失常:缓慢性心律失常,,definition_empty;description_contains_other_disease_anchor,,窦房结功能障碍（SND，Sinus node dysfunction）为缓慢性心律失常及传导阻滞范围内的疾病或临床亚型，属于缓慢性心律失常及传导阻滞。
P0,心律失常,DIS-CARD-ARR-BRADY,缓慢性心律失常,BATCH-CARD-BRADY-AVB-20260705-001_缓慢性心律失常传导阻滞_Bradyarrhythmia_AVBlock,yes,no,yes,,,definition_empty,,心律失常是指心脏冲动的频率、节律、起源部位、传导速度或激动次序的异常，其发生机制包括冲动形成异常和冲动传导异常。依据心律失常发生时心率的快慢，可分为快速性与缓慢性心律失常两大类。快速性心律失常最重要的发生机制是折返，90%左右的快速型心律失常是由折返机制引起的。
P0,心律失常,DIS-CARD-ARR-LQTS,长QT间期综合征,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,DIS-CARD-ARR-BRUGADA:Brugada综合征:Brugada | DIS-CARD-SCD-ARREST:心脏骤停:心搏骤停 | DIS-CARD-SCD-SUDDEN:心脏性猝死:心脏性猝死 | DIS-CARD-ARR-VA:室性心律失常:室性心律失常,,definition_empty;description_contains_other_disease_anchor,,当离子通道或调控通道的蛋白质发生基因突变时，其功能出现异常升高或降低，导致心肌细胞除极或复极过程异常，从而延长或缩短动作电位时程而产生心律失常甚至猝死，称为离子通道病。随着基因检测技术的发展，许多排除了器质性心脏病而反复出现不明原因晕厥甚至心脏性猝死的病人被证明存在基因变异，尤其是具有家族史者，目前将此类疾病统称为遗传性心律失常综合征，常见的离子通道病有： 1. 长QT 间期综合征（long-QT syndrome，LQTS）可分为先天性和获得性。先天性大多数是由一个或多个基因突变导致的家族遗传性疾病。获得性病人也
P0,心律失常,DIS-CARD-ARR-PSVT,阵发性室上性心动过速,FOUNDATION-CARD-20260624-001,yes,no,yes,DIS-CARD-ARR-SVT:室上性心动过速:室上性心动过速,,definition_empty;description_contains_other_disease_anchor,,阵发性室上性心动过速基础骨架节点，来源于《内科学（第10版）》循环系统疾病篇。
P0,心律失常,DIS-CARD-ARR-NSVT,非持续性室性心动过速,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,DIS-CARD-ARR-VT:持续性室性心动过速:室性心动过速 | DIS-CARD-ARR-BRUGADA:Brugada综合征:Brugada | DIS-CARD-CAD-CHD:冠状动脉粥样硬化性心脏病:冠心病 | DIS-CARD-HF:心力衰竭:心力衰竭,,definition_empty;description_contains_other_disease_anchor,,室性心动过速（ventricular tachycardia，VT）简称室速，是起源于希氏束以下的特殊传导系统或者心室肌的连续3 个或3 个以上的异位心搏。及时正确地判断和治疗室速具有非常重要的临床意义。【病因】 室速常发生于各种器质性心脏病病人。最常见为冠心病，其次是心肌病、心力衰竭、瓣膜性心脏病等，其他病因包括代谢障碍、电解质紊乱、洋地黄中毒等。室速偶可发生在无器质性心脏病者，称为特发性室速，其多起源于右心室流出道（右室特发性室速）、左心室间隔部（左室特发性室速）和主动脉窦部。少部分室速与遗传因素有关，又称为离
P0,心律失常,DIS-CARD-ARR-WPW,预激综合征,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,yes,no,yes,,,definition_empty,,预激综合征（preexcitation syndrome）又称Wolf-Parkinson-White综合征（WPW综合征），是指心电图呈预激表现，临床上有心动过速发作。
P0,心肌病,DIS-CARD-CM-ATRIAL,心房心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,,,definition_empty,,心房心肌病是指心房结构、收缩、舒张或电生理特性发生异常并具有潜在临床相关表现的一组心房病变，可与房性心律失常、血栓栓塞风险增加和心功能异常相关。
P0,心肌病,DIS-CARD-CM-MYOCARDITIS,心肌炎,FOUNDATION-CARD-20260624-001,yes,no,yes,,,definition_empty,,心肌炎基础骨架节点，来源于《内科学（第10版）》循环系统疾病篇。
P0,心肌病,DIS-CARD-CM-DCM,扩张型心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,,,definition_empty,,扩张型心肌病（dilated cardiomyopathy，DCM）是一类以左室或双心室扩大伴收缩功能障碍为特征的心肌病，且无法以负荷异常或心肌缺血等来解释。
P0,心肌病,DIS-CARD-CM-FABRY,法布雷病心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,DIS-CARD-HF:心力衰竭:心力衰竭,,definition_empty;description_contains_other_disease_anchor,,法布雷病心肌病是法布雷病累及心脏所致的贮积性心肌病，通常由α-半乳糖苷酶A活性缺乏导致糖鞘脂在心肌细胞、传导系统和血管内皮等部位沉积，常表现为左心室肥厚、心律失常、传导异常、心绞痛样症状和心力衰竭风险。
P0,心肌病,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,DIS-CARD-HF:心力衰竭:心力衰竭,,definition_empty;description_contains_other_disease_anchor,,淀粉样变心肌病是由淀粉样蛋白沉积于心肌间质和血管等部位引起的浸润性心肌病，常表现为心室壁增厚、舒张/限制性充盈障碍、传导异常、心律失常和心力衰竭，可见于AL型或ATTR型等淀粉样变。
P0,心肌病,DIS-CARD-CM-HCM,肥厚型心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,,,definition_empty,,肥厚型心肌病（hypertrophic cardiomyopathy，HCM）是一类以左心室和/或右心室肥厚，伴舒张功能障碍为特征的心肌病，需排除继发于后负荷增加或系统性疾病的心肌肥厚。
P0,心肌病,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,,,definition_empty,,致心律失常性双心室心肌病（ABVC，Arrhythmogenic biventricular cardiomyopathy）为心肌病范围内的疾病或临床亚型，属于心律失常表型心肌病。
P0,心肌病,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,,,definition_empty,,致心律失常性右心室心肌病（arrhythmogenic right ventricular cardiomyopathy，ARVC）是以进展性右心室心肌萎缩并被纤维或/和脂肪替代为特征的心肌疾病。
P0,心肌病,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,DIS-CARD-ARR-VA:室性心律失常:ventricular arrhythmias | DIS-CARD-ARR-BBB:束支传导阻滞:bundle branch block,,definition_empty;description_contains_other_disease_anchor,,"The ALVC phenotype is characterized by ECG changes, such as low- amplitude QRS complexes in limb leads and left-precordial T-wave Declaration of competing interest inversion, and ventricular arrhythmias with a right bundle branch block morphology which reflect"
P0,心肌病,DIS-CARD-CM-ACM,致心律失常性心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,DIS-CARD-SCD-SUDDEN:心脏性猝死:心源性猝死 | DIS-CARD-ARR-VA:室性心律失常:室性心律失常,,definition_empty;description_contains_other_disease_anchor,,致心律失常性心肌病是一组以心肌结构和功能异常、心肌纤维脂肪样替代或瘢痕形成、室性心律失常和心源性猝死风险增高为主要特征的心肌病谱系，可累及右心室、左心室或双心室。
P0,心肌病,DIS-CARD-CM-RCM,限制型心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,,限制型心肌病,definition_empty;known_pollution_keyword,,限制型心肌病（restrictive cardiomyopathy，RCM）是一组以限制性心室充盈障碍为特征的混合性心肌病，其预后较差，5 年生存期仅约30%。
P0,心肌病,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,BATCH-CARD-CM-20260622-001,yes,no,yes,,非扩张型左心室心肌病,definition_empty;known_pollution_keyword,,非扩张型左心室心肌病（non-dilated left ventricular cardiomyopathy，NDLVC）是指在无左心室扩张情况下，左心室存在着非缺血性瘢痕或脂肪替代，伴或不伴整体或局部室壁运动异常；这些心肌病变仅由负荷异常或心肌缺血无法解释。
P0,心脏骤停与心脏性猝死;心律失常,DIS-CARD-SCD-SUDDEN,心脏性猝死,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,,,definition_empty,,SCD 所定义的1 小时，实质上是指终末事件期的时间在1 小时内。
P0,心脏骤停与心脏性猝死;心律失常,DIS-CARD-SCD-ARREST,心脏骤停,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,,心脏骤停,definition_empty;known_pollution_keyword,,心脏骤停（cardiac arrest，CA）是指心脏射血功能突然终止，造成全身血液循环中断、呼吸停止和意识丧失。
