疾病编码,疾病名称,推荐编码,推荐名称,动作名称,动作类型,主证据编码,主指南编码,主来源,页码,推荐等级,证据等级,冲突状态,裁决理由,裁决文本,链路缺口
DIS-CARD-ARR-SB,窦性心动过缓,REC-CDSS-BRADYAVB-ARR-SB-01-01-DIAG,疑似窦性心动过缓时，应结合窦性心动过缓诊断标准、动态心电图、心电图、电生理检查进行诊断确认和必要鉴别。,心脏电生理检查；心电图；动态心电图,ExamItem,EVD-7E8B1D14C478CA398A11-SB,SRC-DOC-6E44027E23077E48,《内科学（第10版）》.pdf,228,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SB,窦性心动过缓,REC-CDSS-BRADYAVB-ARR-SB-02-01-RISK,窦性心动过缓确诊或高度疑似后，应结合窦性心动过缓风险分层、血流动力学不稳定和心脏停搏风险进行风险分层和高危因素识别。,窦性心动过缓风险分层,RiskStratification,EVD-213FB6451C1E4AFE4B36-SAB,SRC-DOC-7EABAF0372E7ED03,《内科学（第10版）》.pdf,222,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SB,窦性心动过缓,REC-CDSS-BRADYAVB-ARR-SB-04-01-FOLLOW,窦性心动过缓稳定期或治疗后，应按窦性心动过缓随访方案、窦性心动过缓预后进行随访和复评。,窦性心动过缓随访方案,FollowUp,EVD-37852F5AD4D850FB2EA0-SB,SRC-DOC-C0BB559FA2C8448A,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅰ,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SND,窦房结功能障碍,REC-CDSS-BRADYAVB-ARR-SND-01-01-DIAG,疑似窦房结功能障碍时，应结合窦房结功能障碍诊断标准、动态心电图、心电图、电生理检查、阿托品试验进行诊断确认和必要鉴别。,心脏电生理检查；心电图；阿托品试验；动态心电图,ExamItem,EVD-A8695F72AE745B013D17-SND,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,228,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SND,窦房结功能障碍,REC-CDSS-BRADYAVB-ARR-SND-02-01-RISK,窦房结功能障碍确诊或高度疑似后，应结合血流动力学不稳定和心脏停搏风险进行风险分层和高危因素识别。,血流动力学不稳定和心脏停搏风险,Complication,EVD-A8695F72AE745B013D17-SND,SRC-DOC-CF62B75AEC93F1A6,《内科学（第10版）》.pdf,378,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SND,窦房结功能障碍,REC-CDSS-BRADYAVB-ARR-SND-04-01-FOLLOW,窦房结功能障碍稳定期或治疗后，应按心电监测和起搏器随访、窦房结功能障碍预后进行随访和复评。,心电监测和起搏器随访,FollowUp,EVD-665D797D1DF306C8FB0C-SND,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,231,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SQTS,短QT间期综合征,REC-CDSS-VASCD-ARR-SQTS-01-01-DIAG,疑似短QT间期综合征时，应结合短QT间期综合征诊断标准、冠状动脉造影、基因检测、心电图、心脏磁共振成像进行诊断确认和必要鉴别。,心电图；心脏磁共振；基因检测；冠状动脉造影,ExamItem,EVD-FF93ED940C3A8AC56E8E-LQTS,SRC-DOC-C0BB559FA2C8448A,室性心律失常中国专家共识基层版.pdf,8,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SQTS,短QT间期综合征,REC-CDSS-VASCD-ARR-SQTS-02-01-RISK,短QT间期综合征确诊或高度疑似后，应结合冠心病、器质性心脏病、家族猝死史、左心室射血分数降低、心力衰竭等进行风险分层和高危因素识别。,冠心病,RiskFactor,EVD-A215F735B3016E6E5D52-SQTS,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,16,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SQTS,短QT间期综合征,REC-CDSS-VASCD-ARR-SQTS-04-01-FOLLOW,短QT间期综合征稳定期或治疗后，应按短QT间期综合征随访方案、短QT间期综合征预后与猝死风险进行随访和复评。,短QT间期综合征随访方案,FollowUp,EVD-A215F735B3016E6E5D52-SQTS,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,16,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SVT,室上性心动过速,REC-CDSS-SVTAFL-ARR-SVT-01-01-DIAG,疑似室上性心动过速时，应结合室上性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、超声心动图等进行诊断确认和必要鉴别。,甲状腺功能；心脏电生理检查；12导联心电图；电解质检查；动态心电图；超声心动图,LabItem；ExamItem,EVD-9627254301018A3F041C-SVT,SRC-DOC-4A36F3721EF8AADE,室上性心动过速诊断及治疗中国专家共识(2021).pdf,35,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SVT,室上性心动过速,REC-CDSS-SVTAFL-ARR-SVT-02-01-RISK,室上性心动过速确诊或高度疑似后，应结合先天性心脏病、咖啡因、器质性心脏病、旁路、甲状腺功能亢进等进行风险分层和高危因素识别。,先天性心脏病,RiskFactor,EVD-9627254301018A3F041C-SVT,SRC-DOC-F6D887F5DD95AA6A,室上性心动过速诊断及治疗中国专家共识(2021).pdf,37,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SVT,室上性心动过速,REC-CDSS-SVTAFL-ARR-SVT-04-01-FOLLOW,室上性心动过速稳定期或治疗后，应按室上性心动过速随访方案、室上性心动过速预后进行随访和复评。,室上性心动过速随访方案,FollowUp,EVD-9627254301018A3F041C-SVT,SRC-DOC-4A36F3721EF8AADE,室上性心动过速诊断及治疗中国专家共识(2021).pdf,35,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,REC-CDSS-VASCD-ARR-TDP-01-01-DIAG,疑似尖端扭转型室性心动过速时，应结合尖端扭转型室性心动过速诊断标准、动态心电图、基因检测、心电图、心脏磁共振成像等进行诊断确认和必要鉴别。,肾功能与电解质；基因检测；心电图；动态心电图；心脏磁共振；血清镁,LabItem；ExamItem,EVD-19E42D2881212255B14C-TDP,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,13,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,REC-CDSS-VASCD-ARR-TDP-02-01-RISK,尖端扭转型室性心动过速确诊或高度疑似后，应结合尖端扭转型室性心动过速风险分层、低钾血症、低镁血症、冠心病、器质性心脏病等进行风险分层和高危因素识别。,尖端扭转型室性心动过速风险分层,RiskStratification,EVD-TB-05843C8237A69A062548-TDP,SRC-DOC-4DE9ED834C741715,室性心律失常中国专家共识基层版.pdf,12,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,REC-CDSS-VASCD-ARR-TDP-04-01-FOLLOW,尖端扭转型室性心动过速稳定期或治疗后，应按尖端扭转型室性心动过速随访方案、尖端扭转型室性心动过速预后进行随访和复评。,尖端扭转型室性心动过速随访方案,FollowUp,EVD-F7D22146EC15D12F1886-TDP,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,19,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-VA,室性心律失常,REC-CDSS-VASCD-ARR-VA-01-01-DIAG,疑似室性心律失常时，应结合室性心律失常诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,心肌损伤标志物；肾功能与电解质；冠状动脉造影；动态心电图；基因检测；心电图,LabItem；ExamItem,EVD-54314853F362AB126BA8-VA,SRC-DOC-C0BB559FA2C8448A,室性心律失常中国专家共识基层版.pdf,18,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-VA,室性心律失常,REC-CDSS-VASCD-ARR-VA-02-01-RISK,室性心律失常确诊或高度疑似后，应结合室性心律失常风险分层、低钾血症、低镁血症、冠心病、器质性心脏病等进行风险分层和高危因素识别。,室性心律失常风险分层,RiskStratification,EVD-126C962B1D9442E4C657-VA,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,2,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-VA,室性心律失常,REC-CDSS-VASCD-ARR-VA-04-01-FOLLOW,室性心律失常稳定期或治疗后，应按室性心律失常随访方案、室性心律失常预后进行随访和复评。,室性心律失常随访方案,FollowUp,EVD-TB-529E398EB043DF2365D9-NSVT,SRC-DOC-C0BB559FA2C8448A,室性心律失常中国专家共识基层版.pdf,10,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-VF,心室扑动与心室颤动,REC-CDSS-VASCD-ARR-VF-01-01-DIAG,疑似心室扑动与心室颤动时，应结合心室扑动与心室颤动诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,肾功能与电解质；动态心电图；血清镁；基因检测；心电图；冠状动脉造影,LabItem；ExamItem,EVD-308FEE043A398A00ED9C-VF,SRC-DOC-4DE9ED834C741715,室性心律失常中国专家共识基层版.pdf,8,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-VF,心室扑动与心室颤动,REC-CDSS-VASCD-ARR-VF-02-01-RISK,心室扑动与心室颤动确诊或高度疑似后，应结合心室扑动与心室颤动风险分层、低钾血症、低镁血症、冠心病、器质性心脏病等进行风险分层和高危因素识别。,心室扑动与心室颤动风险分层,RiskStratification,EVD-FF93ED940C3A8AC56E8E-LQTS,SRC-DOC-C0BB559FA2C8448A,室性心律失常中国专家共识基层版.pdf,8,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-VF,心室扑动与心室颤动,REC-CDSS-VASCD-ARR-VF-04-01-FOLLOW,心室扑动与心室颤动稳定期或治疗后，应按心室扑动与心室颤动随访方案、心室扑动与心室颤动预后进行随访和复评。,心室扑动与心室颤动随访方案,FollowUp,EVD-308FEE043A398A00ED9C-VF,SRC-DOC-6E44027E23077E48,室性心律失常中国专家共识基层版.pdf,8,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-VT,持续性室性心动过速,REC-CDSS-VASCD-ARR-VT-01-01-DIAG,疑似持续性室性心动过速时，应结合持续性室性心动过速诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,心肌损伤标志物；肾功能与电解质；血清镁；动态心电图；基因检测；冠状动脉造影；心电图,LabItem；ExamItem,EVD-22F1D1DDC36B0B600F0B-NSVT,SRC-DOC-4DE9ED834C741715,室性心律失常中国专家共识基层版.pdf,4,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-VT,持续性室性心动过速,REC-CDSS-VASCD-ARR-VT-02-01-RISK,持续性室性心动过速确诊或高度疑似后，应结合持续性室性心动过速风险分层、低钾血症、低镁血症、冠心病、器质性心脏病等进行风险分层和高危因素识别。,持续性室性心动过速风险分层,RiskStratification,EVD-FF93ED940C3A8AC56E8E-LQTS,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,5,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-VT,持续性室性心动过速,REC-CDSS-VASCD-ARR-VT-03-01-TREAT,持续性室性心动过速治疗应根据病情严重程度、禁忌证和患者特征选择ICD治疗、射频消融治疗、抗心律失常药物治疗、β受体阻滞剂、利多卡因等。,普萘洛尔；普罗帕酮；同步直流电复律；临时心脏起搏术；β受体阻滞剂；硫酸奎尼丁片,Medication；Procedure,EVD-FF93ED940C3A8AC56E8E-LQTS,SRC-DOC-C0BB559FA2C8448A,室性心律失常中国专家共识基层版.pdf,5,未分级/指南未显式标注,未分级/指南未显式标注,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-ARR-VT,持续性室性心动过速,REC-CDSS-VASCD-ARR-VT-04-01-FOLLOW,持续性室性心动过速稳定期或治疗后，应按持续性室性心动过速随访方案、持续性室性心动过速预后进行随访和复评。,持续性室性心动过速随访方案,FollowUp,EVD-TB-529E398EB043DF2365D9-NSVT,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,5,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-WPW,预激综合征,REC-CDSS-SVTAFL-ARR-WPW-01-01-DIAG,疑似预激综合征时，应结合预激综合征诊断标准、12导联心电图、动态心电图、电生理检查、超声心动图等进行诊断确认和必要鉴别。,心脏电生理检查；肝功能检查；超声心动图；12导联心电图；动态心电图,ExamItem；LabItem,EVD-CBDFBB2E088CA458D4E6-WPW,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,29,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-WPW,预激综合征,REC-CDSS-SVTAFL-ARR-WPW-02-01-RISK,预激综合征确诊或高度疑似后，应结合先天性心脏病、器质性心脏病、旁路、电解质紊乱、预激等进行风险分层和高危因素识别。,先天性心脏病,RiskFactor,EVD-0FD1D195CF06AE7F0386-WPW,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,37,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-WPW,预激综合征,REC-CDSS-SVTAFL-ARR-WPW-03-01-TREAT,预激综合征治疗应根据病情严重程度、禁忌证和患者特征选择同步电复律、导管消融、抗凝治疗、伊布利特、普罗帕酮等。,维拉帕米；普罗帕酮；颈动脉窦按摩；索他洛尔；三尖瓣环峡部消融；富马酸伊布利特；腺苷；胺碘酮,Medication；TreatmentItem；Procedure,EVD-CBDFBB2E088CA458D4E6-WPW,SRC-DOC-F6D887F5DD95AA6A,室上性心动过速诊断及治疗中国专家共识(2021).pdf,29,未分级/指南未显式标注,未分级/指南未显式标注,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-ARR-WPW,预激综合征,REC-CDSS-SVTAFL-ARR-WPW-04-01-FOLLOW,预激综合征稳定期或治疗后，应按预激综合征随访方案、预激综合征预后进行随访和复评。,预激综合征随访方案,FollowUp,EVD-E977EBD141ED5288E0E4-WPW,SRC-DOC-4A36F3721EF8AADE,室上性心动过速诊断及治疗中国专家共识(2021).pdf,36,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-ACS,急性冠脉综合征,REC-CDSS-CAD-ACS-01-01-ECG-TROP,疑似ACS应优先进行心电图和心肌肌钙蛋白评估。,心肌损伤标志物；12导联心电图；心电图；CK-MB,LabItem；ExamItem,EVD-9A9489A580AF81E3951A-ACS,SRC-DOC-223D946BFCBBE084,经皮冠状动脉介入治疗指南（2025）.pdf,4,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-ACS,急性冠脉综合征,REC-CDSS-CAD-ACS-02-01-RISK,ACS应结合心电图、肌钙蛋白、GRACE/TIMI评分进行分型和风险分层。,急性冠脉综合征诊断标准,DiagnosisCriteria,EVD-1EBE1F965F69378B6891-ACS,SRC-DOC-223D946BFCBBE084,NSTE-ACS CN 2024.pdf,4,Ⅰ,C,none,,已沉淀到推荐节点,
DIS-CARD-CAD-ACS,急性冠脉综合征,REC-CDSS-CAD-ACS-03-01-ANTITHROMBOTIC,ACS抗栓治疗应拆分到抗血小板、P2Y12受体抑制剂和抗凝药物，并核对禁忌证。,氢氯吡格雷片；替格瑞洛片；阿司匹林,Medication,EVD-FDE6879474D3DE0A5D40-ACS,SRC-DOC-AFBC49A750345874,NSTE-ACS CN 2024.pdf,8,Ⅰ,A,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-CAD-ACS,急性冠脉综合征,REC-CDSS-CAD-ACS-03-02-REVASC,ACS患者应按分型、风险和PCI可及性评估冠状动脉造影、PCI或再灌注治疗。,冠状动脉造影,ExamItem,EVD-B29AB77406EAACC7B162-ACS,SRC-DOC-99DE8941F1F5EDF3,NSTE-ACS CN 2024.pdf,15,未分级/指南未显式标注,未分级/指南未显式标注,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-CAD-AMI,急性心肌梗死,REC-CDSS-CAD-AMI-01-01-DIAG,急性心肌损伤证据合并缺血证据时支持急性心肌梗死诊断。,心肌损伤标志物；超声心动图；心电图,LabItem；ExamItem,EVD-674A318C96D4760982B1-AMI,SRC-DOC-37B4754AACAB4D5F,4TH universal definition of MI.pdf,9,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-AMI,急性心肌梗死,REC-CDSS-CAD-AMI-02-01-REPERFUSION,AMI患者应结合分型、时间窗和PCI可及性评估急诊PCI、溶栓或冠脉造影。,冠状动脉造影,ExamItem,EVD-ED6B61F9AB279C7BCBB4-AMI,SRC-DOC-955DCDB8BC81606E,STEMI CN 2019.pdf,4,Ⅰ,A,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-CAD-AMI,急性心肌梗死,REC-CDSS-CAD-AMI-03-01-PREVENT,AMI稳定后应落实抗血小板、他汀、β受体阻滞剂和随访管理。,他汀类药物；急性心肌梗死随访方案；β受体阻滞剂,Medication；FollowUp,EVD-D67B8B5A8FB0C8C69598-AMI,SRC-DOC-AFBC49A750345874,冠心病双联抗血小板治疗中国专家共识.pdf,2,未分级/共识意见,未分级/共识证据,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-CAD-CCS,慢性冠脉综合征,REC-CDSS-CAD-CCS-01-01-TEST,慢性冠脉综合征应根据症状和风险选择心电图、负荷试验、冠脉CTA或冠脉造影。,心电图运动负荷试验；12导联心电图；冠状动脉造影；心电图；冠脉CTA,ExamItem,EVD-FCDC09886873B3C33753-CCS,SRC-DOC-63C1CE632EA42314,稳定性冠心病诊断与治疗指南 2018.pdf,2,Ⅰ,C,none,,已沉淀到推荐节点,
DIS-CARD-CAD-CCS,慢性冠脉综合征,REC-CDSS-CAD-CCS-02-01-ANTIANGINAL,CCS症状控制可评估β受体阻滞剂、硝酸酯类药物和钙通道阻滞剂。,硝酸甘油；钙通道阻滞剂；硝酸酯类药物；β受体阻滞剂,Medication,EVD-0557F7773247CA1A79EC-CCS,SRC-DOC-0CFCD79F003BFB93,稳定性冠心病诊断与治疗指南 2018.pdf,6,Ⅱa,B,none,,已沉淀到推荐节点,
DIS-CARD-CAD-CCS,慢性冠脉综合征,REC-CDSS-CAD-CCS-02-02-PREVENT,CCS应进行他汀、抗血小板和危险因素控制。,低密度脂蛋白-胆固醇；阿司匹林；他汀类药物；慢性冠脉综合征随访方案,LabItem；Medication；FollowUp,EVD-E0621CA49A39F765937C-CCS,SRC-DOC-63C1CE632EA42314,稳定性冠心病诊断与治疗指南 2018.pdf,8,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-CCS,慢性冠脉综合征,REC-CDSS-CAD-CCS-03-01-REVASC,CCS存在高危缺血、重要冠脉病变或药物治疗仍症状明显时，应评估PCI或CABG。,冠状动脉造影,ExamItem,EVD-FB16377C9AE85BCAA8B7-CCS,SRC-DOC-63C1CE632EA42314,CCS CN 2024.pdf,13,未分级/指南未显式标注,未分级/指南未显式标注,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-CAD-ICM,缺血性心肌病,REC-CDSS-CAD-ICM-01-01-EVAL,缺血性心肌病需评估超声心动图、LVEF、心脏磁共振/存活心肌和冠脉造影。,超声心动图；心脏磁共振；冠状动脉造影,ExamItem,EVD-B20E0ABA092EBED3E733-ICM,SRC-DOC-16A94BC5A06F338E,存活心肌无创影像学评价专家共识.pdf,8,Ⅲ,C,none,,已沉淀到推荐节点,
DIS-CARD-CAD-ICM,缺血性心肌病,REC-CDSS-CAD-ICM-02-01-GDMT,缺血性心肌病应进行冠心病二级预防和心功能相关药物管理。,β受体阻滞剂；阿司匹林；他汀类药物；利尿剂；血管紧张素转换酶抑制剂,Medication,EVD-F1C075DF7D18CC667C1E-ICM,SRC-DOC-16A94BC5A06F338E,缺血性心肌病血运重建专家共识.pdf,8,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-ICM,缺血性心肌病,REC-CDSS-CM-ICM-01-01-DIAG,疑似缺血性心肌病应结合冠状动脉造影、超声心动图、CMR和LVEF评估确认缺血性病因。,心脏磁共振；冠状动脉造影；超声心动图,ExamItem,EVD-B20E0ABA092EBED3E733-ICM,SRC-DOC-16A94BC5A06F338E,缺血性心肌病血运重建专家共识.pdf,9,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-ICM,缺血性心肌病,REC-CDSS-CM-ICM-02-01-REVASC,缺血性心肌病应在规范药物治疗基础上评估冠状动脉造影、PCI或其他血运重建策略。,冠状动脉造影；缺血性心肌病随访方案,ExamItem；FollowUp,EVD-77D0B101A4E9B7EF652C-ICM,SRC-DOC-16A94BC5A06F338E,缺血性心肌病血运重建专家共识.pdf,9,未分级/指南未显式标注,未分级/指南未显式标注,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,REC-CDSS-CAD-NSTEMI-01-01-DIAG,无持续ST段抬高但肌钙蛋白升高/动态变化时支持NSTEMI诊断。,心肌损伤标志物；心电图,LabItem；ExamItem,EVD-284C4E9C02BA9B546BC7-ACS,SRC-DOC-99DE8941F1F5EDF3,NSTE-ACS CN 2024.pdf,3,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,REC-CDSS-CAD-NSTEMI-02-01-RISK,NSTEMI应使用GRACE/TIMI及高危临床特征进行风险分层。,非ST段抬高型心肌梗死风险分层,RiskStratification,EVD-37E0CF7DE9DBA48CF0EE-NSTEMI,SRC-DOC-99DE8941F1F5EDF3,NSTE-ACS CN 2024.pdf,15,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,REC-CDSS-CAD-NSTEMI-03-01-INVASIVE,高危NSTEMI应评估冠状动脉造影和PCI等侵入策略。,冠状动脉造影,ExamItem,EVD-6376E96B8D6A0C8CE1EF-NSTEMI,SRC-DOC-99DE8941F1F5EDF3,NSTE-ACS CN 2024.pdf,15,未分级/指南未显式标注,未分级/指南未显式标注,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,REC-CDSS-CAD-NSTEMI-04-01-ANTITHROMBOTIC,NSTEMI抗栓治疗需结合缺血风险和出血风险明确抗血小板及抗凝药物。,氢氯吡格雷片；替格瑞洛片；阿司匹林；非ST段抬高型心肌梗死随访方案,Medication；FollowUp,EVD-A461939A6CD470240837-ACS,SRC-DOC-223D946BFCBBE084,NSTE-ACS CN 2024.pdf,8,Ⅰ,A,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,REC-CDSS-CAD-OLDMI-01-01-ASSESS,陈旧性心肌梗死应评估心电图、超声心动图、LVEF和缺血/并发症风险。,超声心动图；心电图；冠状动脉造影,ExamItem,EVD-031BA794407F74F55B8B-MI,SRC-DOC-EC5A88A34A19CF0B,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,9,Ⅰ,A,none,,已沉淀到推荐节点,
DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,REC-CDSS-CAD-OLDMI-02-01-PREVENT,陈旧性心肌梗死需长期进行他汀、抗血小板、β受体阻滞剂和随访管理。,β受体阻滞剂；陈旧性心肌梗死随访方案；他汀类药物；阿司匹林,Medication；FollowUp,EVD-9DF164E84F4CF8D339F1-MI,SRC-DOC-EC5A88A34A19CF0B,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,7,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,REC-CDSS-CAD-SILENT-01-01-SCREEN,隐匿性冠心病应在高危人群中结合心电图、负荷试验、冠脉CTA或冠脉造影确认缺血/冠脉病变。,心电图运动负荷试验；冠状动脉造影；冠脉CTA；心电图,ExamItem,EVD-4A1266C3DC0FB769419C-AMI,SRC-DOC-63C1CE632EA42314,稳定性冠心病诊断与治疗指南 2018.pdf,2,Ⅰ,C,none,,已沉淀到推荐节点,
DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,REC-CDSS-CAD-SILENT-02-01-PREVENT,隐匿性冠心病应按冠心病风险管理进行他汀、抗血小板和危险因素控制。,他汀类药物；隐匿性冠心病年度临床随访评估；阿司匹林；低密度脂蛋白-胆固醇,Medication；FollowUp；LabItem,EVD-9BAE5559CD59D53912E6-MI,SRC-DOC-0CFCD79F003BFB93,冠心病双联抗血小板治疗中国专家共识.pdf,6,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,REC-CDSS-CAD-STABLEANGINA-01-01-DIAG,稳定型心绞痛应结合典型胸痛特征、心电图和负荷/影像学检查判断。,心电图；冠脉CTA；心电图运动负荷试验,ExamItem,EVD-D4F02653E5935EAEBDBE-ANGINA,SRC-DOC-99DE8941F1F5EDF3,稳定性冠心病诊断与治疗指南 2018.pdf,5,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,REC-CDSS-CAD-STABLEANGINA-02-01-MED,稳定型心绞痛可评估硝酸酯类、β受体阻滞剂、钙通道阻滞剂，同时进行他汀和抗血小板预防。,稳定型心绞痛随访方案；阿司匹林；钙通道阻滞剂；β受体阻滞剂；他汀类药物；硝酸酯类药物,FollowUp；Medication,EVD-F857DD0B91E504B93301-ANGINA,SRC-DOC-63C1CE632EA42314,稳定性冠心病诊断与治疗指南 2018.pdf,6,Ⅱa,B,none,,已沉淀到推荐节点,
