层级,标题,父级,名称,docx_start_para,docx_end_para,开始段落,结束段落,路径,可用槽位,概述预览
章,心包疾病,第三篇循环系统疾病,心包疾病,6684,6689,6684,6689,心包疾病 > 心包疾病,definition,心包为双层囊袋结构，分为脏层和壁层，二者之间为心包腔，内含 15～50ml 浆膜液起润滑作用。心包对心脏起到固定及屏障保护作用，减少心脏与周围组织摩擦，减缓心脏收缩对周围血管的冲击，调节心室压力和容积，防止由于运动和血容量增加而导致的心腔迅速扩张或过度充盈，也能阻止炎症和恶性肿瘤向心脏转移。但心包先天缺如或手术切除通常并不会产生严重的后果。 心包疾病是由感染...
节,急性心包炎,心包疾病,急性心包炎,6690,6725,6690,6725,心包疾病 > 急性心包炎,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,急性心包炎（acute pericarditis）为心包脏层和壁层的急性炎症性疾病。各种原因引起的心包炎症大多以胸痛、心包摩擦音、心电图改变及心包渗出后心包积液为特征。可单独存在，或是某种全身疾病累及心包的表现。
节,心包积液及心脏压塞,心包疾病,心包积液及心脏压塞,6726,6750,6726,6750,心包疾病 > 心包积液及心脏压塞,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,心包疾病或其他病因累及心包可造成心包渗出和心包积液（pericardial effusion），当积液迅速或积液量达到一定程度时，心包压增加，可造成心排血量和回心血量明显下降而产生临床症状，即心脏压塞（cardiac tamponade）。
节,缩窄性心包炎,心包疾病,缩窄性心包炎,6751,6836,6751,6836,心包疾病 > 缩窄性心包炎,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,缩窄性心包炎（constrictive pericarditis）是指心脏被致密增厚的纤维化或钙化心包所包围，使心室舒张期充盈受限而产生一系列循环障碍的疾病，病程多为慢性。
章,感染性心内膜炎,第三篇循环系统疾病,感染性心内膜炎,6837,7004,6837,7004,感染性心内膜炎 > 感染性心内膜炎,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,感染性心内膜炎（infective endocarditis，IE）是指病原体循血行途径或直接感染心瓣膜、心内膜或邻近大血管内膜所致的感染性疾病，感染最常累及瓣膜，常伴赘生物形成、局部结构与功能受损、终末器官感染性栓塞及全身炎症反应。 近年来，IE 的发病率呈增长态势，这与老年退行性瓣膜病、心脏器械植入、医疗操作、静脉药物成瘾者等增多有关。我国尚无确切的发病...
章,心脏骤停与心脏性猝死,第三篇循环系统疾病,心脏骤停与心脏性猝死,7005,7156,7005,7156,心脏骤停与心脏性猝死 > 心脏骤停与心脏性猝死,definition；etiology；pathogenesis；clinical_manifestation,心脏骤停（cardiac arrest，CA）是指心脏射血功能突然终止，造成全身血液循环中断、呼吸停止和意识丧失。心脏骤停发生后，由于脑血流突然中断，10 秒左右病人即可出现意识丧失，如在 4～6 分钟黄金时段内及时救治，存活概率较高，否则将发生生物学死亡，自发逆转者罕见。按照发生地点不同，心脏骤停分为院外心脏骤停（out-of-hospital cardi...
节,主动脉夹层,心脏骤停与心脏性猝死,主动脉夹层,7157,7216,7157,7216,心脏骤停与心脏性猝死 > 主动脉夹层,definition；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,主动脉的血管壁由内膜、中膜和外膜三层结构组成。在各种因素导致主动脉内膜撕裂后，管腔内高速流动的血液将从撕裂口进入管壁中层，并沿血管长轴方向延伸，形成真、假两腔的病理状态，称为主动脉夹层（aortic dissection，AD）。主动脉夹层是一种心血管急危重症，具有发病急、死亡率高的特点。若未能及时诊治，48 小时内死亡率高达 50%，致死原因包括夹层破裂、...
节,下肢动脉硬化闭塞症,心脏骤停与心脏性猝死,下肢动脉硬化闭塞症,7217,7255,7217,7255,心脏骤停与心脏性猝死 > 下肢动脉硬化闭塞症,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,下肢动脉硬化闭塞症是动脉粥样硬化累及下肢动脉导致动脉狭窄或闭塞而引起肢体缺血症状的慢性疾病，是全身动脉硬化性疾病在下肢的表现。
节,静脉血栓症,心脏骤停与心脏性猝死,静脉血栓症,7256,7337,7256,7337,心脏骤停与心脏性猝死 > 静脉血栓症,definition；etiology；clinical_manifestation；diagnostic_criteria；differential_diagnosis,下肢浅静脉包括大隐静脉、小隐静脉及其分支；下肢深静脉与大动脉伴行。下肢静脉系统疾病以静脉血栓最具临床意义。
章,心血管神经症,第三篇循环系统疾病,心血管神经症,7338,7392,7338,7392,心血管神经症 > 心血管神经症,definition；treatment,器质性心血管疾病病人可能合并心理精神问题，临床医生需要注意识别，需重视精神心理问题混淆对器质性心脏病严重程度的评估。
节,肿瘤治疗相关的心功能不全,肿瘤心脏病学,肿瘤治疗相关的心功能不全,7393,7426,7393,7426,心血管神经症 > 肿瘤治疗相关的心功能不全,etiology；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,
节,肿瘤治疗相关的冠状动脉疾病,肿瘤心脏病学,肿瘤治疗相关的冠状动脉疾病,7427,7436,7427,7436,心血管神经症 > 肿瘤治疗相关的冠状动脉疾病,definition；pathogenesis；clinical_manifestation；treatment,肿瘤病人罹患冠心病的风险增加，主要原因包括：①肿瘤与冠心病有共同的危险因素，如吸烟、肥胖、高血压、糖尿病等；②肿瘤细胞产生的促炎因子促进斑块形成；③肿瘤产生的促凝因子使血液处于高凝状态；④肿瘤治疗亦可通过不同作用机制诱发冠心病。
节,肿瘤治疗相关的心律失常,肿瘤心脏病学,肿瘤治疗相关的心律失常,7437,7450,7437,7450,心血管神经症 > 肿瘤治疗相关的心律失常,definition,肿瘤治疗过程中可出现多种类型的心律失常，包括快速型 / 缓慢型心律失常、室性 / 室上性心律失常和传导阻滞等。这些肿瘤治疗相关的心律失常可能与放 / 化疗造成的直接心肌损伤、冠脉病变等相关。另外肿瘤治疗常常联用抗生素、止吐药和精神类药物等，也可诱发或加重心律失常。 （一）心房颤动 在肿瘤病人中，房颤发病率可高达 5%～16%，高于普通人群。肿瘤合并房颤的易患...
节,肿瘤治疗相关的高血压,肿瘤心脏病学,肿瘤治疗相关的高血压,7451,7453,7451,7453,心血管神经症 > 肿瘤治疗相关的高血压,definition,高血压是肿瘤病人重要的合并症，部分高血压与肿瘤治疗药物相关。其中 VEGF 抑制剂与高血压的关系最为密切，其引起高血压和使原有高血压病情加重的概率高达 11%～45%。其发生机制包括内皮细胞分泌 NO 能力下降、血管收缩、外周微血管数量减少、血管弹性降低及内皮功能紊乱等。 肿瘤治疗全周期均应进行血压监测与管理。血压控制目标是＜140/90mmHg，如病人耐受...
节,肿瘤治疗相关的血栓性疾病,肿瘤心脏病学,肿瘤治疗相关的血栓性疾病,7454,7456,7454,7456,心血管神经症 > 肿瘤治疗相关的血栓性疾病,definition,（一）静脉血栓栓塞症 肿瘤相关静脉血栓栓塞症（VTE）包括深静脉血栓形成、肺栓塞和中心静脉导管相关血栓形成。肿瘤病人 VTE 的发生率可高达 20%，同时也是肿瘤病人外科手术后最常见的死因之一。其发生与肿瘤类型、部分肿瘤治疗药物及病人本身的血栓危险因素如高龄、卧床、肥胖、感染等相关。VTE 发生率较高的肿瘤包括：脑肿瘤、胰腺癌、胃癌、肺癌、肾癌、淋巴瘤及骨髓...
节,肿瘤治疗相关的其他心血管疾病,肿瘤心脏病学,肿瘤治疗相关的其他心血管疾病,7457,7526,7457,7526,心血管神经症 > 肿瘤治疗相关的其他心血管疾病,definition,（一）肿瘤治疗相关的心脏瓣膜病 肿瘤治疗相关的心脏瓣膜病是放疗常见的远期并发症，发生率约为 10%。主要累及左心瓣膜，包括主动脉瓣根部、主动脉瓣瓣尖、二尖瓣瓣环、基底部和瓣叶。主要病理改变为瓣尖和瓣叶增厚，瓣膜钙化回缩，引起瓣膜狭窄或关闭不全。 接受纵隔放疗的病人，在放疗前和放疗后应定期（每 5 年 1 次）行超声心动图检查。因该瓣膜病常合并纵隔纤维化（影响...
节,糖尿病与高血压,糖尿病相关心血管疾病,糖尿病与高血压,7527,7540,7527,7540,心血管神经症 > 糖尿病与高血压,definition；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,糖尿病（本节主要探讨 2 型糖尿病）与高血压关系十分密切。我国约 55% 的糖尿病病人合并高血压，而高血压病人中糖尿病的患病率约为 24%。糖尿病明显增加高血压发病风险，而高血压显著增加其心脑血管疾病事件风险。因此，对高血压和糖尿病进行共病管理对于降低心脑血管疾病风险尤为重要。
节,糖尿病与冠心病,糖尿病相关心血管疾病,糖尿病与冠心病,7541,7569,7541,7569,心血管神经症 > 糖尿病与冠心病,definition；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,动脉粥样硬化性心血管疾病（ASCVD）是糖尿病病人最主要的大血管并发症，超过 40% 的糖尿 病病人死于心血管疾病，尤其是 ASCVD；在住院的冠心病病人中，合并已诊断和新诊断糖尿病的病人比例超过 40%。血糖水平与冠心病发生风险呈正相关性。
节,糖尿病与心力衰竭,糖尿病相关心血管疾病,糖尿病与心力衰竭,7570,7599,7570,7599,心血管神经症 > 糖尿病与心力衰竭,definition；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,糖尿病是心力衰竭（以下简称“心衰”）的独立危险因素。无论在射血分数保留型心衰（HFpEF）或射血分数下降型心衰（HFrEF）的病人中，糖尿病都增加了病人的心血管死亡风险。
