subject_name,parent,level,pdf_page_approx,docx_start_para,docx_end_para,subject_kind,expected_groups,present_groups,missing_groups,definition_count,etiology_pathogenesis_count,clinical_manifestation_count,exam_lab_count,diagnosis_differential_count,treatment_count,prognosis_followup_count,example_entities,g1_status,neo4j_import_allowed,note
主动脉瓣反流,心脏瓣膜病,节,,6458,6511,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,definition,0,18,20,1,8,12,23,"etiology_pathogenesis: 主动脉瓣反流（aorticregurgitation, AR）主要由主动脉瓣膜本身病变、主动脉根部疾病所致, 根据发病情况又分为急性和慢性两种, （一）急性主动脉瓣反流病因主要包括, 胸部创伤致升主动脉根部、瓣叶支持结构和瓣叶破损或瓣叶脱垂；prognosis_followup: 心源性休克, 肺水肿, 急性重度主动脉瓣反流如不及时手术治疗, 慢性者无症状期长, NYHA心功能Ⅱ级的主动脉瓣重度反流病人年死亡率约6%；clinical_manifestation: 呼吸困难, 劳力性呼吸困难, 端坐呼吸, 夜间阵发性呼吸困难, 心悸；diagnosis_differential: 1.诊断有典型主动脉瓣反流的舒张期杂音伴周围血管征, 可诊断为主动脉瓣反流, 超声心动图可明确诊断, 支持风湿性心脏病诊断, 2.鉴别诊断主动脉瓣反流杂音于胸骨左缘明显时；exam_lab: 超声心动图；treatment: ACEI/ARB, β受体拮抗剂, 利尿剂, 血管紧张素转换酶抑制剂, 血管紧张素II受体拮抗剂",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
主动脉瓣狭窄,心脏瓣膜病,节,,6392,6457,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,definition,0,12,11,1,6,6,24,"etiology_pathogenesis: 主动脉瓣狭窄（aorticstenosis）的病因有三种, 即先天性病变、退行性变和炎症性病变, 单纯性主动脉瓣狭窄多为先天性或退行性变, （一）先天性畸形1.单叶瓣畸形可引起严重的先天性主动脉瓣狭窄, 是导致婴儿死亡的重要原因之一；clinical_manifestation: 呼吸困难, 劳力性呼吸困难, 端坐呼吸, 晕厥, 黑矇；diagnosis_differential: （一）诊断典型主动脉瓣区喷射性收缩期杂音, 较易诊断主动脉瓣狭窄, （二）鉴别诊断临床上主动脉瓣狭窄应与下列情况的主动脉瓣区收缩期杂音相鉴别, 合并反流和二尖瓣病变者多为风湿性心脏瓣膜病, （二）鉴别诊断临床上主动脉瓣狭窄应与下列情况的主动脉瓣区收缩期杂音相鉴别；exam_lab: 超声心动图；treatment: β受体拮抗剂, 他汀类药物, 利尿剂, 血管紧张素转换酶抑制剂, ACEI；prognosis_followup: 无症状者的存活率与正常群体相似, 3%～5%的病人可发生猝死, 三联征出现提示预后不良, 有心绞痛者约50%的病人5年内死亡, 约50%的病人3年内死亡",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
二尖瓣反流,心脏瓣膜病,节,,6567,6621,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,definition,0,10,18,3,2,11,20,"etiology_pathogenesis: 急性二尖瓣反流可致左心房及左心室压力骤然上升, 导致肺淤血甚至肺水肿, 心搏出量及心排血量的减低会导致全身血管阻力的上升, 更加重了二尖瓣反流的严重程度, 病人通常表现为突发的肺水肿及心源性休克；prognosis_followup: 心源性休克, 肺水肿, 由各种乳头肌、腱索及瓣叶异常造成的急性严重二尖瓣反流伴血流动力学不稳定者, 如不及时手术干预, 慢性重度MR确诊后；clinical_manifestation: 呼吸困难, 劳力性呼吸困难, 静息性呼吸困难, 端坐呼吸, 夜间阵发性呼吸困难；exam_lab: 超声心动图, 心电图, X线；diagnosis_differential: 诊断主要根据典型的心尖区收缩期吹风样杂音以及超声心动图表现, 超声心动图有助于鉴别生理性杂音、三尖瓣反流、室间隔缺损、左心室或右心室流出道梗阻等；treatment: ACEI/ARB, β受体拮抗剂, 利尿剂, 血管紧张素转换酶抑制剂, 血管紧张素II受体拮抗剂",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
二尖瓣狭窄,心脏瓣膜病,节,,6512,6566,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,definition,0,20,11,3,2,12,24,"etiology_pathogenesis: 二尖瓣狭窄（mitralstenosis, MS）的主要病因为风湿热, 多见于20～40岁青壮年, 约70%的病人为女性, 约50%的病人无急性风湿热史；clinical_manifestation: 呼吸困难, 劳力性呼吸困难, 端坐呼吸, 恶心呕吐, 咳嗽；exam_lab: 超声心动图, 心电图, X线；diagnosis_differential: 根据典型的心脏杂音以及超声心动图表现可明确诊断, 超声心动图有助于鉴别相对性二尖瓣狭窄、左房黏液瘤、三尖瓣狭窄和原发性肺动脉高压等；treatment: β受体拮抗剂, 利尿剂, 硝酸酯类药物, 非二氢吡啶类钙通道阻滞剂, 抗凝药物；prognosis_followup: 二尖瓣狭窄出现症状, 以及发生房颤、慢性心衰伴心脏扩大及有栓塞史者, 在未开展手术治疗的年代, 本病10年存活率在无症状被确诊后的病人为84%, 症状轻者为42%",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
多瓣膜病,心脏瓣膜病,节,,6622,6637,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,6,0,0,0,0,0,0,"definition: 多瓣膜病定义, 是指两个或两个以上瓣膜病变同时存在, 指两个或两个以上瓣膜病变同时存在, 导致不同瓣膜损害如先天性肺动脉瓣狭窄伴风湿性二尖瓣病变, 引起多瓣膜病的病因，多数为单一病因，少数为多种病因引起",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
风湿热,心脏瓣膜病,节,,6638,6683,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential,exam_lab；treatment,2,0,11,0,3,0,0,"definition: 风湿热定义, 是心脏瓣膜病的主要病因之一，是由于A群乙型溶血性链球菌感染所致，其致病机制与继发于链球菌感染后异常免疫反应有关；clinical_manifestation: 胸痛, 水肿, 奔马律, 心动过速, 心脏杂音；diagnosis_differential: 目前风湿热的诊断采用1992年修订的Jones诊断标准, 即可诊断急性风湿热, 风湿热-鉴别诊断",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
下肢动脉硬化闭塞症,心脏骤停与心脏性猝死,节,,7217,7255,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,,4,12,4,2,6,8,18,"definition: 下肢动脉硬化闭塞症定义, 是动脉粥样硬化累及下肢动脉导致动脉狭窄或闭塞而引起肢体缺血症状的慢性疾病，是全身动脉硬化性疾病在下肢的表现, 导致动脉狭窄或闭塞而引起肢体缺血症状的慢性疾病，是全身动脉硬化性疾病在下肢的表现, 引起肢体缺血症状的慢性疾病，是全身动脉硬化性疾病在下肢的表现；etiology_pathogenesis: 本病是冠心病的等危症, 引起冠状动脉粥样硬化的危险因素通常也会引发本病, 发病机制参见本篇第四章动脉粥样硬化, 吸烟使发病率增加2～5倍, 糖尿病使发病率增加2～4倍；clinical_manifestation: 水肿, 心脏杂音, 水肿, 收缩期杂音；exam_lab: 运动负荷试验, CT；diagnosis_differential: 诊断并不困难, 发热、血沉增快及免疫指标异常, 本病应与多发性大动脉炎累及髂动脉者、血栓闭塞性脉管炎（又称Buerger病）相鉴别, 常累及肾动脉而有肾性高血压, 缺血性溃疡伴有剧痛应与神经病变、下肢静脉曲张所致溃疡鉴别；treatment: P2Y12受体抑制剂, 阿司匹林, 抗凝药物, 氯吡格雷, 华法林；prognosis_followup: 本病的预后与同时并存的冠心病、脑血管疾病密切相关, 间歇性跛行病人5年生存率为70%, 10年生存率为50%, 大多死于冠心病和脑血管事件, 伴有糖尿病及吸烟病人预后更差",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
主动脉夹层,心脏骤停与心脏性猝死,节,,7157,7216,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,,3,0,10,5,9,8,0,"definition: 主动脉夹层定义, 是一种心血管急危重症，具有发病急、死亡率高的特点, 导致主动脉内膜撕裂后，管腔内高速流动的血液将从撕裂口进入管壁中层，并沿血管长轴方向延伸，形成真、假两腔的病理状态，称为主动脉；clinical_manifestation: 呼吸困难, 晕厥, 头晕, 上腹痛, 少尿；exam_lab: 超声心动图, 冠状动脉CT血管成像, 心电图, X线, CT；diagnosis_differential: 应尽快安排相应的影像学检查予以明确诊断, 鉴别诊断主要考虑急性冠脉综合征和急性肺栓塞, 对于中高危的可疑主动脉夹层病人, 表3-12-1主动脉夹层的高危特征由于本病多以急性胸痛为首要症状, 鉴别诊断主要考虑急性冠脉综合征和急性肺栓塞；treatment: ACEI/ARB, β受体拮抗剂, 利尿剂, 非二氢吡啶类钙通道阻滞剂, 血管紧张素转换酶抑制剂",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
静脉血栓症,心脏骤停与心脏性猝死,节,,7256,7337,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis,exam_lab；treatment,1,13,10,0,3,0,0,"definition: 静脉血栓症定义；etiology_pathogenesis: 心血管神经症病因尚不清楚, 可能与神经类型、环境因素、遗传因素和性格有关, 病人神经类型常为抑郁、焦虑、忧愁型, 当精神上受到外界环境刺激, 或工作紧张、压力较大；clinical_manifestation: 胸痛, 胸闷, 呼吸困难, 心悸, 头晕；diagnosis_differential: 一般不难作出诊断, 必须注意排除器质性心脏病, 与心绞痛、甲状腺功能亢进、心肌炎、二尖瓣脱垂综合征及嗜铬细胞瘤等进行鉴别",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
不稳定型心绞痛和非 ST 段抬高型心肌梗死,急性冠脉综合征,条目,,5127,5196,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；treatment,,2,8,13,11,7,11,0,"definition: 不稳定型心绞痛和非ST段抬高型心肌梗死定义, 是UA的一种特殊类型，其发病机制为冠脉痉挛；etiology_pathogenesis: UA/NSTEMI病理机制主要为在不稳定粥样硬化斑块破裂、糜烂或侵蚀基础上血小板聚集、并发血栓形成、冠脉痉挛收缩、微血管栓塞, 导致急性或亚急性心肌供氧减少和缺血加重, 虽可因劳力负荷诱发, 但中止后胸痛并不能立刻缓解, NSTEMI常因心肌严重的持续性缺血导致心肌坏死；clinical_manifestation: 胸痛, 呼吸困难, 心悸, 出汗, 恶心呕吐；exam_lab: 超声心动图, 冠状动脉造影, 心电图, 胸部X线, X线；diagnosis_differential: 可初步作出UA/NSTEMI诊断, 诊断未明确的症状不典型但病情稳定者, 在出院前可作负荷心电图或负荷超声心动图、心肌灌注显像、冠脉造影等检查, 因此需要鉴别诊断, 与其他疾病的鉴别诊断参见“稳定型心绞痛”部分；treatment: P2Y12受体抑制剂, β受体拮抗剂, 硝酸酯类药物, 阿司匹林, 氯吡格雷",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
急性 ST 段抬高型心肌梗死,急性冠脉综合征,条目,,5197,5398,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,,5,21,38,12,8,8,26,"definition: 急性ST段抬高型心肌梗死定义, 是指急性心肌缺血性坏死，大多是在冠脉病变的基础上，发生冠脉血供急剧减少或中断，使相应的心肌严重而持久地急性缺血所致, 是农村还是城市，AMI发病率在不断增高，死亡率整体呈上升趋势, 指急性心肌缺血性坏死，大多是在冠脉病变的基础上，发生冠脉血供急剧减少或中断，使相应的心肌严重而持久地急性缺血所致, 导致冠脉血管持续、完全闭塞，少部分为冠脉开口堵塞，如主动脉夹层撕裂累及冠脉开口，或医源性的，如经导管主动脉瓣植入术导致的冠脉；etiology_pathogenesis: STEMI的基本病因是冠脉粥样硬化基础上一支或多支血管管腔急性闭塞, 若持续时间达到20～30分钟以上, 即可发生AMI（1型心肌梗死）, 绝大多数STEMI是由于不稳定粥样斑块溃破, 继而出血和管腔内血栓形成而使管腔闭塞；prognosis_followup: 心源性休克, 肺水肿, 与梗死范围大小、侧支循环产生情况以及治疗是否及时等有关, AMI相关的死亡一半发生于送到医院前, 其中院外死亡中相当高的比例为猝死；clinical_manifestation: 胸痛, 胸闷, 呼吸困难, 心悸, 晕厥；exam_lab: 超声心动图, 心电图, CT, 血常规, 肾功能；diagnosis_differential: 特征性的心电图改变以及实验室检查发现, 诊断本病并不困难, 并短期内进行心电图、血清心肌坏死标志物测定等动态观察以确定诊断, 鉴别诊断需要考虑以下疾病, 表3-4-5心绞痛和急性心肌梗死的鉴别诊断要点2.主动脉夹层胸痛一开始即达高峰；treatment: β受体拮抗剂, 硝酸酯类药物, 阿司匹林, 美托洛尔, 吗啡",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
稳定型心绞痛,慢性冠状动脉综合征,条目,,4958,5088,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,,1,7,11,16,4,12,30,"definition: 稳定型心绞痛定义；etiology_pathogenesis: 当冠脉狭窄或部分闭塞时, 心肌供血量相对比较固定, 休息时尚能维持心肌血流的供需平衡, 在劳力、情绪激动、饱食、受寒等情况下, 心脏负荷突然增加；clinical_manifestation: 胸痛, 胸闷, 呼吸困难, 出汗, 濒死感；exam_lab: 超声心动图, 冠状动脉CT血管成像, 冠状动脉造影, 心电图, 运动负荷试验；diagnosis_differential: 一般即可建立诊断, 支持心绞痛诊断, 有助于诊断和指导进一步治疗, 结合年龄和存在冠心病危险因素；prognosis_followup: 稳定型心绞痛病人大多数能生存很多年, 但有发生急性心肌梗死或猝死的危险, 决定预后的主要因素为冠脉病变累及心肌供血的范围和心功能, 左冠脉主干病变最为严重, 国外统计年病死率可高达30%左右；treatment: P2Y12受体抑制剂, β受体拮抗剂, 硝酸酯类药物, 阿司匹林, 非二氢吡啶类钙通道阻滞剂",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
缺血性心肌病,慢性冠状动脉综合征,条目,,5089,5110,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,,2,0,22,4,3,2,0,"definition: 缺血性心肌病定义, 是冠脉粥样硬化病变使心肌长期缺血、缺氧以至心肌细胞减少、坏死、心肌纤维化、心肌瘢痕形成；clinical_manifestation: 胸痛, 胸闷, 呼吸困难, 劳力性呼吸困难, 端坐呼吸；diagnosis_differential: 缺血性心肌病诊断需满足以下几点, 同时需排除冠心病的某些并发症, 需鉴别其他引起心脏增大和心力衰竭的病因；exam_lab: 超声心动图, 冠状动脉CT血管成像, 冠状动脉造影, CT；treatment: 心脏移植, 血运重建",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
隐匿型冠心病,慢性冠状动脉综合征,条目,,5111,5119,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition,0,0,0,5,2,4,0,"exam_lab: 冠状动脉CT血管成像, 冠状动脉造影, 运动负荷试验, CT, IVUS；diagnosis_differential: 1.发病特点隐匿型冠心病（latentcoronaryheartdisease）或无症状性冠心病是指没有心绞痛症状, 但有心肌缺血客观证据的冠心病；treatment: β受体拮抗剂, 他汀类药物, 阿司匹林, 血运重建",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
艾森门格综合征,成人常见先天性心血管病,条目,,6267,6281,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup,treatment,2,10,3,3,3,0,3,"definition: 艾森门格综合征定义, 是一组先天性心脏病发展的后果，由原来的左向右分流变成右向左分流，从无青紫发展至有青紫时，即称为Eisenmenger综合征；etiology_pathogenesis: 除原发的室间隔缺损、房间隔缺损或动脉导管未闭等原有畸形外, 可见右心房、右心室均明显增大, 肺动脉干和主要分支扩大, 而肺小动脉壁增厚, 内腔狭小甚至闭塞；clinical_manifestation: 乏力, 头晕, 舒张期杂音；exam_lab: 超声心动图, 心电图, X线；diagnosis_differential: 诊断一般无困难, 鉴别诊断主要与先天性青紫型心脏畸形鉴别, 鉴别诊断主要与先天性青紫型心脏畸形鉴别；prognosis_followup: 为先天性心脏病后期已失去手术治疗机会, 为先天性心脏病后期已失去手术治疗机会, 为先天性心脏病后期已失去手术治疗机会",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
房室交界区相关的折返性心动过速,房室交界性心律失常,条目,,4476,4547,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis；treatment,diagnosis_differential；exam_lab,2,7,7,0,0,8,0,"definition: 房室交界区相关的折返性心动过速定义, 是折返，前者的折返环路位于房室结内；etiology_pathogenesis: 病人多无器质性心脏病, 相当部分病人有长期反复发作病史, 病人大多无其他心脏异常征象, 可于任何年龄经体检心电图或发作心动过速被发现, 少数可见于先天性心血管病如三尖瓣下移畸形（Ebstein畸形）、二尖瓣脱垂、各类心肌病等；clinical_manifestation: 胸闷, 心悸, 晕厥, 黑矇, 头晕；treatment: β受体拮抗剂, 胺碘酮, 非二氢吡啶类钙通道阻滞剂, 钙通道阻滞剂, 维拉帕米",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
房室交界性期前收缩,房室交界性心律失常,条目,,4455,4471,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,definition,diagnosis_differential；exam_lab；treatment,3,0,0,0,0,0,0,"definition: 房室交界性期前收缩定义, 指示为房室交界性期前收缩, 指房室交界性逸搏连续发生而形成的节律",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
非阵发性房室交界性心动过速,房室交界性心律失常,条目,,4472,4475,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,definition,diagnosis_differential；exam_lab；treatment,2,0,0,0,0,0,0,"definition: 非阵发性房室交界性心动过速定义, 引起者，经常合并房室交界区文氏型传导阻滞，使心室律变得不规则",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心房扑动,房性心律失常,条目,,4396,4408,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis；treatment,diagnosis_differential；exam_lab,2,7,1,0,0,8,0,"definition: 心房扑动定义, 是介于房速和房颤之间的快速型心律失常；etiology_pathogenesis: 多见于冠心病、瓣膜病、高血压心脏病和心肌病等器质性心脏病, 肺栓塞、甲状腺功能亢进、酒精中毒和心包炎等, 部分病人也可无明显病因, 高血压, 冠心病；clinical_manifestation: 心绞痛；treatment: β受体拮抗剂, 胺碘酮, 非二氢吡啶类钙通道阻滞剂, 地高辛, 钙通道阻滞剂",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心房颤动,房性心律失常,条目,,4409,4452,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis,diagnosis_differential；exam_lab；treatment,5,10,2,0,0,0,0,"definition: 心房颤动定义, 是最常见的心律失常之一，是指规则有序的心房电活动丧失，代之以快速无序的颤动波，是最严重的心房电活动紊乱, 是房颤病人的主要病理生理特点, 指规则有序的心房电活动丧失，代之以快速无序的颤动波，是最严重的心房电活动紊乱, 引起心室极不规则的反应；etiology_pathogenesis: 房颤常发生于器质性心脏病病人, 多见于冠心病、高血压心脏病、瓣膜病、心肌病以及甲状腺功能亢进, 其次缩窄性心包炎、慢性肺源性心脏病、预激综合征以及高龄老人也可合并房颤, 部分房颤原因不明, 在情绪激动、外科手术、运动或大量饮酒时发生；clinical_manifestation: 心绞痛, 心动过速",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
房性心动过速,房性心律失常,条目,,4371,4395,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis；treatment,diagnosis_differential；exam_lab,3,5,8,0,0,7,0,"definition: 房性心动过速定义, 是严重肺部疾病常见的心律失常，最终可能发展为心房颤动, 指起源于心房且无需房室结参与维持的心动过速；etiology_pathogenesis: 冠心病、慢性肺部疾病、洋地黄中毒、大量饮酒以及各种代谢障碍均可成为致病原因, 心脏外科手术或导管消融术后所致的手术瘢痕也可引起房性心动过速, 亦可见于部分心脏结构正常的病人, 饮酒, 冠心病；clinical_manifestation: 胸痛, 心悸, 晕厥, 乏力, 头晕；treatment: β受体拮抗剂, 胺碘酮, 非二氢吡啶类钙通道阻滞剂, 钙通道阻滞剂, 导管消融",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
房性期前收缩,房性心律失常,条目,,4363,4370,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition,diagnosis_differential；exam_lab；treatment,3,0,3,0,0,0,0,"definition: 房性期前收缩定义, 是指起源于窦房结以外心房的任何部位的心房激动，是临床上常见的心律失常, 指起源于窦房结以外心房的任何部位的心房激动，是临床上常见的心律失常；clinical_manifestation: 胸闷, 心悸, 乏力",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
病态窦房结综合征,窦性心律失常,条目,,4347,4360,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis,diagnosis_differential；exam_lab；treatment,3,6,9,0,0,0,0,"definition: 病态窦房结综合征定义, 是由窦房结病变导致功能减退，产生多种心律失常的综合表现, 导致功能减退，产生多种心律失常的综合表现；etiology_pathogenesis: 如窦房结纤维化与脂肪浸润、硬化与退行性变、淀粉样变性、甲状腺功能减退、某些感染（布鲁氏菌病、伤寒）等均可损害窦房结, 导致窦房结起搏与窦房传导功能障碍, 窦房结动脉供血减少、窦房结周围神经和心房肌的病变亦是SSS的病因, 颈动脉窦过敏、脑血管意外、高血钾、迷走神经张力增高、某些抗心律失常药物如洋地黄类药物、乙酰胆碱等抑制窦房结功能亦可导致窦房结功能障碍, 感染；clinical_manifestation: 心悸, 晕厥, 黑矇, 乏力, 耐力下降",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
窦性心动过缓,窦性心律失常,条目,,4327,4341,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,definition,diagnosis_differential；exam_lab；treatment,4,0,0,0,0,0,0,"definition: 窦性心动过缓定义, 是指窦房结不能产生冲动, 指窦房结不能产生冲动, 引起窦性停搏",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
窦性心动过速,窦性心律失常,条目,,4321,4326,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,definition,diagnosis_differential；exam_lab；treatment,3,0,0,0,0,0,0,"definition: 窦性心动过速定义, 是指在静息状态下心率的持续性增快，或心率的增快与生理、情绪激动、病理状态或药物作用无关或不相一致，其发生机制不明，可能与窦房结本身的自律性增强，或自主神经对窦房结, 指在静息状态下心率的持续性增快，或心率的增快与生理、情绪激动、病理状态或药物作用无关或不相一致，其发生机制不明，可能与窦房结本身的自律性增强，或自主神经对窦房结的",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
窦房传导阻滞,窦性心律失常,条目,,4342,4346,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,definition,diagnosis_differential；exam_lab；treatment,2,0,0,0,0,0,0,"definition: 窦房传导阻滞定义, 指窦房结冲动传导至心房时发生延缓或阻滞",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
先天性心血管病,第三篇循环系统疾病,章,,6067,6070,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
动脉粥样硬化和冠状动脉粥样硬化性心脏病,第三篇循环系统疾病,章,,4890,4942,category_container,,clinical_manifestation；definition；diagnosis_differential；exam_lab；prognosis_followup；treatment,,9,0,3,8,6,11,6,"definition: 动脉粥样硬化和冠状动脉粥样硬化性心脏病定义, 是包括血管内超声（IVUS）和光学相干断层扫描（OCT）在内的腔内影像学技术的进展和普及，对不同临床类型冠心病病人的斑块性状有了更直接和更清晰的认识, 是稳定型，即纤维帽较厚而脂质池较小的斑块, 是不稳定型（又称为易损型），其纤维帽较薄，脂质池较大易于破裂, 导致急性缺血性心血管事件的发生；clinical_manifestation: 上腹痛, 少尿, 高血压；exam_lab: 超声心动图, 冠状动脉CT血管成像, 心电图, 运动负荷试验, X线；diagnosis_differential: 诊断并不困难, 但早期诊断很不容易, 年长病人发现血脂异常, 应首先考虑诊断本病, 梅毒性主动脉炎和主动脉瘤以及纵隔肿瘤相鉴别；prognosis_followup: 本病预后随病变部位、程度、血管狭窄发展速度、受累器官受损情况和有无并发症而不同, 病变涉及心、脑、肾等重要脏器动脉者预后不良, 本病预后随病变部位、程度、血管狭窄发展速度、受累器官受损情况和有无并发症而不同, 病变涉及心、脑、肾等重要脏器动脉者预后不良, 本病预后随病变部位、程度、血管狭窄发展速度、受累器官受损情况和有无并发症而不同；treatment: P2Y12受体抑制剂, 他汀类药物, 阿司匹林, 抗凝药物, 氯吡格雷",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心力衰竭,第三篇循环系统疾病,章,,3905,3909,category_container,,definition,,6,0,0,0,0,0,0,"definition: 心力衰竭定义, 是各种原因导致的心脏结构和/或功能异常，使心脏出现收缩和/或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综合征，主要表现为活动耐量下降, 是一个更广泛的概念，伴有临床症状的心功能不全称之为心力衰竭（简称心衰）, 主要表现为活动耐量下降和液体潴留, 导致的心脏结构和/或功能异常，使心脏出现收缩和/或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心包疾病,第三篇循环系统疾病,章,,6684,6689,category_container,,definition,,4,0,0,0,0,0,0,"definition: 心包疾病定义, 是由感染、肿瘤、代谢性疾病、结缔组织病、外伤、药物、放射等引起的心包病理性改变，常表现为心包炎、心包积液、缩窄性心包炎, 导致的心腔迅速扩张或过度充盈，也能阻止炎症和恶性肿瘤向心脏转移, 引起的心包病理性改变，常表现为心包炎、心包积液、缩窄性心包炎",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
心律失常,第三篇循环系统疾病,章,,4229,4232,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
