level,chapter_title,section_title,title,start_paragraph,end_paragraph,source_section_path,has_overview,overview_preview,slots
section,先天性心血管病,成人先天性心脏病的介入治疗,成人先天性心脏病的介入治疗,6282,6385,先天性心血管病 > 成人先天性心脏病的介入治疗,yes,随着影像学、各种导管技术以及使用的介入器材的不断改进与发展，先心病介入治疗在一定范围内已经取代了外科手术治疗。目前，我国每年约有超过 2.5 万先心病病人接受介入治疗。成人先天性心脏病的介入治疗，见表 3-7-2。 一 、经皮球囊肺动脉瓣成形术 经皮球囊肺动脉瓣成形术（percutaneous balloon pulmonary valvuloplasty，PBPV）是较早应用的非手术介入性先天性心脏病的治疗措施，首例成功报告为 1982 年。国内也于 20 世纪 80 年代后期起步，目前已累积了较为成熟的经验，成...,
chapter,心脏瓣膜病,,心脏瓣膜病,6386,6391,心脏瓣膜病 > 心脏瓣膜病,yes,心脏瓣膜病（valvular heart disease，VHD）是由多种原因引起的心脏瓣膜狭窄或 / 和反流所致的心脏疾病。正常情况下，心脏瓣膜开放使血液向前流动，心脏瓣膜关闭则防止血液反流，从而保证心脏内血流的单向流动。当瓣膜狭窄时，心腔压力负荷增加；瓣膜反流时，心腔容量负荷增加。这些血流动力学改变可导致心房或心室结构改变及功能失常，最终出现心力衰竭、心律失常等临床表现。 心脏瓣膜病的常见病因包括炎症、老年退行性改变、先天性畸形、黏液样变性、缺血性坏死、创伤等。近年来，随着生活及医疗条件的改善，我国风湿性心脏病...,
section,心脏瓣膜病,主动脉瓣狭窄,主动脉瓣狭窄,6392,6457,心脏瓣膜病 > 主动脉瓣狭窄,no,,clinical_manifestation|diagnosis_differential|etiology|pathogenesis|prognosis_followup_prevention|treatment|实验室和其他检查|并发症
section,心脏瓣膜病,主动脉瓣反流,主动脉瓣反流,6458,6511,心脏瓣膜病 > 主动脉瓣反流,no,,clinical_manifestation|diagnosis_differential|etiology|pathogenesis|prognosis_followup_prevention|treatment|实验室和其他检查|并发症
section,心脏瓣膜病,二尖瓣狭窄,二尖瓣狭窄,6512,6566,心脏瓣膜病 > 二尖瓣狭窄,no,,clinical_manifestation|diagnosis_differential|etiology|exam_lab|pathogenesis|prognosis_followup_prevention|treatment|并发症
section,心脏瓣膜病,二尖瓣反流,二尖瓣反流,6567,6621,心脏瓣膜病 > 二尖瓣反流,no,,clinical_manifestation|diagnosis_differential|exam_lab|pathogenesis|prognosis_followup_prevention|treatment|并发症|病因和病理
section,心脏瓣膜病,多瓣膜病,多瓣膜病,6622,6637,心脏瓣膜病 > 多瓣膜病,yes,多瓣膜病（multivalvular heart disease）又称联合瓣膜病，是指两个或两个以上瓣膜病变同时存在。 【病因】 引起多瓣膜病的病因，多数为单一病因，少数为多种病因引起。 1. 一种疾病同时损害几个瓣膜 最常见为风湿性心脏病，近一半病人有多瓣膜损害。其次为老年退行性改变、黏液样变性，可同时累及二尖瓣和三尖瓣，两者可同时发生脱垂。感染性心内膜炎也可累及多瓣膜。 2. 一个瓣膜病变致血流动力学异常引起邻近瓣膜相对性狭窄或关闭不全 如主动脉瓣膜反流使左心室容量负荷过度而扩大，产生相对性二尖瓣关闭不全。 3...,病理生理和临床表现|诊断及治疗
section,心脏瓣膜病,风湿热,风湿热,6638,6683,心脏瓣膜病 > 风湿热,yes,风湿热（rheumatic fever）是心脏瓣膜病的主要病因之一，是由于 A 群乙型溶血性链球菌感染所致，其致病机制与继发于链球菌感染后异常免疫反应有关。 该细菌荚膜与关节、滑膜之间有共同抗原，细胞壁外层中 M 蛋白及 M 相关蛋白、中层多糖中 N- 乙酰萄糖胺等与心肌和心瓣膜有共同抗原，细胞膜脂蛋白与心肌纤维膜和丘脑下核、尾状核之间有共同抗原。链球菌感染后体内产生的抗链球菌抗体，可与这些共同抗原形成循环免疫复合物，沉积于关节滑膜、心肌、心瓣膜或丘脑下核、尾状核，激活补体成分产生炎性病变，从而产生相应的临床表现。,clinical_manifestation|diagnosis_differential|治疗与预防
chapter,心包疾病,,心包疾病,6684,6689,心包疾病 > 心包疾病,yes,心包为双层囊袋结构，分为脏层和壁层，二者之间为心包腔，内含 15～50ml 浆膜液起润滑作用。心包对心脏起到固定及屏障保护作用，减少心脏与周围组织摩擦，减缓心脏收缩对周围血管的冲击，调节心室压力和容积，防止由于运动和血容量增加而导致的心腔迅速扩张或过度充盈，也能阻止炎症和恶性肿瘤向心脏转移。但心包先天缺如或手术切除通常并不会产生严重的后果。 心包疾病是由感染、肿瘤、代谢性疾病、结缔组织病、外伤、药物、放射等引起的心包病理性改变，常表现为心包炎、心包积液、缩窄性心包炎。心包炎按病程分为急性、亚急性、慢性及复发性，按病...,
section,心包疾病,急性心包炎,急性心包炎,6690,6725,心包疾病 > 急性心包炎,yes,急性心包炎（acute pericarditis）为心包脏层和壁层的急性炎症性疾病。各种原因引起的心包炎症大多以胸痛、心包摩擦音、心电图改变及心包渗出后心包积液为特征。可单独存在，或是某种全身疾病累及心包的表现。,clinical_manifestation|diagnosis_differential|etiology|exam_lab|pathogenesis|prognosis_followup_prevention|treatment
section,心包疾病,心包积液及心脏压塞,心包积液及心脏压塞,6726,6750,心包疾病 > 心包积液及心脏压塞,yes,心包疾病或其他病因累及心包可造成心包渗出和心包积液（pericardial effusion），当积液迅速或积液量达到一定程度时，心包压增加，可造成心排血量和回心血量明显下降而产生临床症状，即心脏压塞（cardiac tamponade）。,clinical_manifestation|diagnosis_differential|etiology|exam_lab|pathogenesis|prognosis_followup_prevention|treatment
section,心包疾病,缩窄性心包炎,缩窄性心包炎,6751,6836,心包疾病 > 缩窄性心包炎,yes,缩窄性心包炎（constrictive pericarditis）是指心脏被致密增厚的纤维化或钙化心包所包围，使心室舒张期充盈受限而产生一系列循环障碍的疾病，病程多为慢性。,clinical_manifestation|diagnosis_differential|etiology|exam_lab|pathogenesis|prognosis_followup_prevention|treatment
chapter,感染性心内膜炎,,感染性心内膜炎,6837,7004,感染性心内膜炎 > 感染性心内膜炎,yes,感染性心内膜炎（infective endocarditis，IE）是指病原体循血行途径或直接感染心瓣膜、心内膜或邻近大血管内膜所致的感染性疾病，感染最常累及瓣膜，常伴赘生物形成、局部结构与功能受损、终末器官感染性栓塞及全身炎症反应。 近年来，IE 的发病率呈增长态势，这与老年退行性瓣膜病、心脏器械植入、医疗操作、静脉药物成瘾者等增多有关。我国尚无确切的发病率数据，2019 年全球估测的发病率为每年 13.8/10 万，男女比例≥2∶1。IE 的病原谱也有显著变化，最常见病原体由既往的链球菌转变为目前的葡萄球菌（欧...,clinical_manifestation|diagnosis_differential|etiology|exam_lab|pathogenesis|prognosis_followup_prevention|treatment|并发症|特殊类型 IE
chapter,心血管神经症,,心血管神经症,7338,7392,心血管神经症 > 心血管神经症,yes,器质性心血管疾病病人可能合并心理精神问题，临床医生需要注意识别，需重视精神心理问题混淆对器质性心脏病严重程度的评估。,treatment
section,心血管神经症,肿瘤治疗相关的心功能不全,肿瘤治疗相关的心功能不全,7393,7426,心血管神经症 > 肿瘤治疗相关的心功能不全,no,,clinical_manifestation|diagnosis_differential|etiology|exam_lab|treatment|评估与监测
section,心血管神经症,肿瘤治疗相关的冠状动脉疾病,肿瘤治疗相关的冠状动脉疾病,7427,7436,心血管神经症 > 肿瘤治疗相关的冠状动脉疾病,yes,肿瘤病人罹患冠心病的风险增加，主要原因包括：①肿瘤与冠心病有共同的危险因素，如吸烟、肥胖、高血压、糖尿病等；②肿瘤细胞产生的促炎因子促进斑块形成；③肿瘤产生的促凝因子使血液处于高凝状态；④肿瘤治疗亦可通过不同作用机制诱发冠心病。,clinical_manifestation|pathogenesis|treatment
section,心血管神经症,肿瘤治疗相关的心律失常,肿瘤治疗相关的心律失常,7437,7450,心血管神经症 > 肿瘤治疗相关的心律失常,yes,肿瘤治疗过程中可出现多种类型的心律失常，包括快速型 / 缓慢型心律失常、室性 / 室上性心律失常和传导阻滞等。这些肿瘤治疗相关的心律失常可能与放 / 化疗造成的直接心肌损伤、冠脉病变等相关。另外肿瘤治疗常常联用抗生素、止吐药和精神类药物等，也可诱发或加重心律失常。 （一）心房颤动 在肿瘤病人中，房颤发病率可高达 5%～16%，高于普通人群。肿瘤合并房颤的易患因素包括：①肿瘤病人常合并心血管基础疾病及危险因素；②肿瘤相关的全身炎症反应、氧化应激等促进心房重塑；③疼痛、情绪应激等引起自主神经紊乱；④电解质紊乱、感染、贫...,
section,心血管神经症,肿瘤治疗相关的高血压,肿瘤治疗相关的高血压,7451,7453,心血管神经症 > 肿瘤治疗相关的高血压,yes,高血压是肿瘤病人重要的合并症，部分高血压与肿瘤治疗药物相关。其中 VEGF 抑制剂与高血压的关系最为密切，其引起高血压和使原有高血压病情加重的概率高达 11%～45%。其发生机制包括内皮细胞分泌 NO 能力下降、血管收缩、外周微血管数量减少、血管弹性降低及内皮功能紊乱等。 肿瘤治疗全周期均应进行血压监测与管理。血压控制目标是＜140/90mmHg，如病人耐受性良好，建议控制在 130/80mmHg 以下。出现肿瘤治疗相关高血压时，如血压＜160/100mmHg，可首选ACEI/ARB，如血压控制不达标，再联用二氢吡...,
section,心血管神经症,肿瘤治疗相关的血栓性疾病,肿瘤治疗相关的血栓性疾病,7454,7456,心血管神经症 > 肿瘤治疗相关的血栓性疾病,yes,（一）静脉血栓栓塞症 肿瘤相关静脉血栓栓塞症（VTE）包括深静脉血栓形成、肺栓塞和中心静脉导管相关血栓形成。肿瘤病人 VTE 的发生率可高达 20%，同时也是肿瘤病人外科手术后最常见的死因之一。其发生与肿瘤类型、部分肿瘤治疗药物及病人本身的血栓危险因素如高龄、卧床、肥胖、感染等相关。VTE 发生率较高的肿瘤包括：脑肿瘤、胰腺癌、胃癌、肺癌、肾癌、淋巴瘤及骨髓瘤。肿瘤通过释放促炎因子及促凝血物质、血小板增多及功能亢进、降低纤溶蛋白溶解功能使宿主处于高凝状态，诱导静脉血栓形成。VTE 的防治详见本篇第十二章。但肿瘤病人...,
section,心血管神经症,肿瘤治疗相关的其他心血管疾病,肿瘤治疗相关的其他心血管疾病,7457,7526,心血管神经症 > 肿瘤治疗相关的其他心血管疾病,yes,（一）肿瘤治疗相关的心脏瓣膜病 肿瘤治疗相关的心脏瓣膜病是放疗常见的远期并发症，发生率约为 10%。主要累及左心瓣膜，包括主动脉瓣根部、主动脉瓣瓣尖、二尖瓣瓣环、基底部和瓣叶。主要病理改变为瓣尖和瓣叶增厚，瓣膜钙化回缩，引起瓣膜狭窄或关闭不全。 接受纵隔放疗的病人，在放疗前和放疗后应定期（每 5 年 1 次）行超声心动图检查。因该瓣膜病常合并纵隔纤维化（影响伤口愈合）、冠脉疾病、心肌病和心包疾病，外科手术难度较大，治疗时也可选择经导管瓣膜置换。 （二）肿瘤治疗相关的心包疾病 胸部放疗（尤其是对霍奇金淋巴瘤、乳腺癌、...,
section,心血管神经症,糖尿病与高血压,糖尿病与高血压,7527,7540,心血管神经症 > 糖尿病与高血压,yes,糖尿病（本节主要探讨 2 型糖尿病）与高血压关系十分密切。我国约 55% 的糖尿病病人合并高血压，而高血压病人中糖尿病的患病率约为 24%。糖尿病明显增加高血压发病风险，而高血压显著增加其心脑血管疾病事件风险。因此，对高血压和糖尿病进行共病管理对于降低心脑血管疾病风险尤为重要。,clinical_manifestation|diagnosis_differential|pathogenesis|treatment
section,心血管神经症,糖尿病与冠心病,糖尿病与冠心病,7541,7569,心血管神经症 > 糖尿病与冠心病,yes,动脉粥样硬化性心血管疾病（ASCVD）是糖尿病病人最主要的大血管并发症，超过 40% 的糖尿 病病人死于心血管疾病，尤其是 ASCVD；在住院的冠心病病人中，合并已诊断和新诊断糖尿病的病人比例超过 40%。血糖水平与冠心病发生风险呈正相关性。,clinical_manifestation|diagnosis_differential|pathogenesis|treatment
section,心血管神经症,糖尿病与心力衰竭,糖尿病与心力衰竭,7570,7599,心血管神经症 > 糖尿病与心力衰竭,yes,糖尿病是心力衰竭（以下简称“心衰”）的独立危险因素。无论在射血分数保留型心衰（HFpEF）或射血分数下降型心衰（HFrEF）的病人中，糖尿病都增加了病人的心血管死亡风险。,clinical_manifestation|diagnosis_differential|pathogenesis|treatment
